id,Plot_Name,Latitude,Longitude,Seed,7Mar_Clgr,7Mar_Clre,7Mar_EVI2,7Mar_NDRE,7Mar_NDVI,16Mar_Clgr,16Mar_Clre,16Mar_EVI2,16Mar_NDRE,16Mar_NDVI,23Mar_Clgr,23Mar_Clre,23Mar_EVI2,23Mar_NDRE,23Mar_NDVI,30Mar_CIgr,30Mar_Cire,30Mar_EVI2,30Mar_NDRE,30Mar_NDVI,5Apr_Clgr,5Apr_Clre,5Apr_EVI2,5Apr_NDRE,5Apr_NDVI
34,P3_4,15.27422,100.175452,9,4.20407594,1.006523282,1.900290731,0.331290801,0.842840412,3.911523535,0.943550165,1.734166005,0.652704593,0.792866947,3.622348817,0.922128772,1.621189088,0.312944673,0.757052979,2.933180876,0.741662569,1.531164539,0.266811952,0.726884075,2.370603979,0.608140057,1.38346379,0.230467839,0.675521007
35,P3_5,15.27436,100.175929,12,3.551727974,0.857435983,1.8168308,0.297397883,0.817693928,3.930001541,0.959040687,1.718555438,0.652432951,0.787586067,3.387305798,0.869775097,1.577218472,0.299567975,0.742136158,2.833405996,0.744213936,1.487976814,0.267902409,0.711837345,2.280257548,0.595761139,1.316971001,0.226119902,0.650416777
36,P3_6,15.274955,100.176149,4,2.948485882,0.69851223,1.709555104,0.256571874,0.784330152,3.180103274,0.735520991,1.646261627,0.607566359,0.764739317,2.558339648,0.626724539,1.450738301,0.237521291,0.700137911,1.782893713,0.426355966,1.173751583,0.174773937,0.597919851,1.545583348,0.354046749,1.040936066,0.149399771,0.545770365
37,P3_7,15.274825,100.175648,5,3.945665373,0.937549055,1.881203167,0.315338712,0.836820574,3.554016756,0.834559438,1.707919969,0.630203857,0.784413746,2.539606377,0.621897606,1.407023282,0.234813665,0.68349313,1.969671913,0.459556009,1.162479032,0.184186182,0.591046128,2.335064683,0.560205649,1.315129455,0.215110725,0.646445781
38,P3_8,15.274714,100.175184,5.1,3.711322806,0.892869375,1.866042285,0.306291462,0.832906702,3.140801637,0.75149529,1.623204411,0.607152145,0.758289354,2.158817375,0.514247306,1.27825043,0.203662142,0.638503781,1.509163828,0.3343022,0.956792461,0.142476923,0.511398797,1.375847497,0.289611299,0.822514981,0.125409198,0.450692245
39,P3_9,15.274601,100.174712,5.3,3.450719757,0.813219935,1.828337275,0.286383318,0.821421147,3.117940284,0.724555675,1.611735366,0.602668131,0.754117052,2.3780167,0.570614145,1.356107548,0.220769466,0.666573369,1.680016534,0.387461794,1.02949788,0.16082488,0.539481536,1.511344511,0.342623022,0.906848351,0.143805273,0.484086583
40,P3_10,15.274493,100.174205,5.3,3.618137958,0.891510522,1.799476356,0.306648023,0.812626955,3.161906911,0.779304712,1.603224665,0.608822469,0.751052731,1.995376842,0.503912251,1.137008943,0.19754555,0.575895196,1.354733733,0.311632839,0.814513207,0.132161191,0.442064116,1.443732022,0.324233235,0.856037735,0.137176653,0.462667674
41,P3_11,15.274953,100.174137,2.2,2.937503244,0.721014859,1.684513707,0.263290276,0.77647164,2.571186361,0.605280369,1.460318678,0.557992889,0.702979846,1.747684502,0.411970035,1.046404764,0.169687869,0.54703312,1.107352468,0.237107757,0.619568013,0.103762685,0.349876503,1.181626882,0.261187523,0.64111026,0.112254415,0.357893888
42,P3_12,15.275025,100.174424,4.3,3.439611074,0.83911668,1.785879672,0.293628076,0.808546398,3.008090725,0.724518185,1.528659603,0.594131539,0.725487808,2.135086085,0.505960427,1.221977456,0.200541342,0.61590215,1.462364073,0.330125579,0.875699421,0.139643806,0.471375789,1.697233338,0.400257668,0.990868445,0.163546444,0.518461179
43,P3_13,15.275188,100.175118,4.2,3.908267667,0.892360255,1.883295268,0.304985682,0.837732594,3.252328399,0.75039087,1.64811383,0.609594645,0.765878857,2.674170681,0.62466573,1.4793085,0.23628455,0.709269702,1.969679372,0.448639007,1.221155973,0.180843945,0.613354306,2.209117001,0.51443083,1.276494432,0.20051421,0.628832238
44,P3_14,15.275342,100.175762,3.3,2.909256055,0.687583826,1.716721318,0.253192048,0.786788016,3.058794941,0.688469377,1.631980136,0.598847354,0.760872015,2.335405943,0.535789342,1.383945345,0.210322719,0.676961372,1.846432344,0.40444151,1.19099647,0.167145166,0.604566026,1.793795899,0.390171259,1.135619,0.161831707,0.58128224
45,P3_15,15.275495,100.176401,9.6,4.492781027,1.088092035,1.879042794,0.348717423,0.836039827,3.856399587,0.931905097,1.688774594,0.646829642,0.778038938,3.764438754,0.91205973,1.662056301,0.309712775,0.769371375,2.485243884,0.607080962,1.364289759,0.227469838,0.663025936,1.989123577,0.459602423,1.140176609,0.182233825,0.577481462
