id,Plot_Name,Latitude,Longitude,Husk_Cob_Seed,Cob_Seed,Seed,NDVI_10Jan,OSAVI_10Jan,NDVI_18Jan,OSAVI_18Jan,NDVI_25Jan,OSAVI_25Jan,NDVI_1Feb,OSAVI_1Feb,NDVI_8Feb,OSAVI_8Feb,NDVI_15Feb,OSAVI_15Feb,NDVI_22Feb,OSAVI_22Feb,NDVI_2Mar,OSAVI_2Mar,NDVI_7Mar,OSAVI_7Mar,NDVI_16Mar,OSAVI_16Mar,NDVI_23Mar,OSAVI_23Mar,NDVI_30Mar,OSAVI_30Mar,NDVI_5Apr,OSAVI_5Apr,NDVI_19Apr,OSAVI_19Apr,NDVI_26Apr,OSAVI_26Apr,NDVI_3May,OSAVI_3May
36,P3_6,15.274955,100.176149,5.6,5,4,0,0,0,0,0.013967156,0.01620156,0.080029437,0.092832345,0.31455347,0.36487449,0.531920046,0.617014013,0.69302965,0.803899059,0.732290532,0.849441744,0.784330152,0.909805868,0.764739317,0.88708145,0.700137911,0.812144241,0.597919851,0.693573028,0.545770365,0.633081187,0.282597524,0.327807626,0.295318989,0.34255933,0.140586006,0.16307758
37,P3_7,15.274825,100.175648,6.6,5.8,5,0,0,0,0,0.088932344,0.103159386,0.051093985,0.059267778,0.331742724,0.38481298,0.548292798,0.636006304,0.767320592,0.890075202,0.792415691,0.919186925,0.836820574,0.970694855,0.784413746,0.909904721,0.68349313,0.79283772,0.591046128,0.685600065,0.646445781,0.749861921,0.580524945,0.673397847,0.508905691,0.590312837,0.437783128,0.50782014
38,P3_8,15.274714,100.175184,7,6,5.1,0,0,0,0,0.006579526,0.007632101,0.112001896,0.129919657,0.425438005,0.493498317,0.671650588,0.779099163,0.795849781,0.923169957,0.801458665,0.929676908,0.832906702,0.966154779,0.758289354,0.879599084,0.638503781,0.740649835,0.511398797,0.593210393,0.450692245,0.522792212,0.16001615,0.185615368,0.188638301,0.218812618,0.108334205,0.125665563
39,P3_9,15.274601,100.174712,7.8,6.5,5.3,0,0,0,0,0.010867198,0.01260571,0.09205144,0.106777668,0.431483003,0.500510409,0.63182977,0.732907875,0.767626863,0.890432014,0.74087552,0.859401882,0.821421147,0.952832534,0.754117052,0.874759981,0.666573369,0.773210174,0.539481536,0.625785937,0.484086583,0.561529313,0.243642609,0.282620394,0.171240389,0.198631867,0.063336284,0.073468858
40,P3_10,15.274493,100.174205,7.6,6.8,5.3,0,0,0,0,0.004767564,0.00553028,0.055959676,0.064912155,0.34650909,0.401943533,0.546619666,0.634067121,0.724998231,0.840983128,0.717588587,0.832389318,0.812626955,0.942631209,0.751052731,0.871206167,0.575895196,0.668025376,0.442064116,0.512783814,0.462667674,0.536683671,0.212281253,0.246242051,0.197395688,0.228970866,0.104985056,0.121780725
41,P3_11,15.274953,100.174137,3,2.6,2.2,0,0,0.023090709,0.026784658,0.097675017,0.113301028,0.086649043,0.100511055,0.351904704,0.40820109,0.527320645,0.611682171,0.619904102,0.719073909,0.670071634,0.777268871,0.77647164,0.900690763,0.702979846,0.815442505,0.54703312,0.634546552,0.349876503,0.405848721,0.357893888,0.415147845,0.258319265,0.299645213,0.329307078,0.381982208,0.111537093,0.129380821
42,P3_12,15.275025,100.174424,5.8,5,4.3,0,0,0.00274682,0.003186243,0.014338292,0.016632135,0.087821162,0.101870831,0.363375579,0.421507731,0.67744079,0.785818495,0.765768149,0.888274957,0.742967659,0.861827799,0.808546398,0.937897387,0.725487808,0.841550571,0.61590215,0.714432686,0.471375789,0.546784876,0.518461179,0.601402058,0.172505242,0.200102401,0.223548992,0.259306748,0.084444423,0.097953972
43,P3_13,15.275188,100.175118,6.2,5,4.2,0,0,0,0,0.020721261,0.02403622,0.112861215,0.130916523,0.486114421,0.563881673,0.69711827,0.808642502,0.804757605,0.933502515,0.807268129,0.936415911,0.837732594,0.971753392,0.765878857,0.888403729,0.709269702,0.822737089,0.613354306,0.711477026,0.628832238,0.729430842,0.320706035,0.372011997,0.366921989,0.425613846,0.333297239,0.386618419
44,P3_14,15.275342,100.175762,4.2,3.9,3.3,0,0,0,0,0.001879883,0.00218062,0.054520645,0.063242743,0.254936302,0.29572001,0.613827028,0.712024916,0.706604424,0.819646163,0.737241536,0.855185089,0.786788016,0.91265708,0.760872015,0.882595795,0.676961372,0.785260438,0.604566026,0.701282815,0.58128224,0.674274006,0.330188761,0.383012486,0.330438263,0.383295282,0.283463711,0.328813133
45,P3_15,15.275495,100.176401,12.5,11,9.6,0,0,0,0,0.036486709,0.042323847,0.079404804,0.092108016,0.335056527,0.388657923,0.634634879,0.736162635,0.772699837,0.896315581,0.807596321,0.936795748,0.836039827,0.969788348,0.778038938,0.902508851,0.769371375,0.892454503,0.663025936,0.769095429,0.577481462,0.669866054,0.250823428,0.290950225,0.28062022,0.325507868,0.128325876,0.148856141
