id,Plot_Name,Latitude,Longitude,Seed,30Mar_CIgr,30Mar_Cire,30Mar_EVI2,30Mar_NDRE,30Mar_NDVI,Maize_high(m),CHM_mean,CHM_max,CHM_SoilSubtract,30Mar_Cire_CHM,30Mar_Cire_CHM_SS,N,P,K,pH,SoilTemp,SoilHumi,EC,Water feed Per Area (m3/dunam),Uv radiation,Evapotranspiration,Daily rain,Rain rate,Humidity,Wind speed,Temperature
24,P2_9,15.275786,100.174532,4,1.05765554,0.225416515,0.683671833,0.097098977,0.368635965,1.1,0.376387146,0.805958867,-0.39598334,0.084843879,-0.089261185,0,0,0,6.6,42,15,0,7.51,8.5,1.27,0,0,63,1,34.7
25,P2_10,15.275667,100.174003,5,1.559895131,0.369569067,1.013604982,0.153499658,0.527343385,1.85,0.549971357,0.907799244,-0.416114803,0.203252401,-0.153783159,0,0,0,6.7,41,13,0,7.51,8.1,1.27,0,0,62,6,34.7
26,P2_11,15.276015,100.174007,10.1,1.431912694,0.373410147,0.891670877,0.153888326,0.473765645,1.56,0.3976425,1.238884926,-0.538489217,0.148483744,-0.201077338,0,0,0,6.6,38,15,0,7.51,8.2,1.27,0,0,62,8,34.8
27,P2_12,15.276095,100.174372,1.4,0.9805135,0.221211633,0.633271839,0.094083996,0.342049609,1.26,0.415619278,0.808853149,-0.293754591,0.091939819,-0.064981933,0,0,0,6.6,40,13.6,0,7.51,8.3,1.27,0,0,63,9,34.9
28,P2_13,15.276266,100.175153,4.4,1.119262817,0.252212124,0.734840902,0.107840901,0.39554734,1.01,0.360715378,0.912376404,-0.457150454,0.090976792,-0.115298887,0,0,0,6.8,39.2,14.8,0,7.51,8.2,1.98,0,0,61,0,35.1
29,P2_14,15.276356,100.175471,8.6,1.450121527,0.341916878,0.913876415,0.140159959,0.472935094,0.94,0.294034933,0.553988457,-0.567841593,0.100535506,-0.194154625,0,0,0,6.7,39.6,14,0,7.51,5.4,1.98,0,0,61,3,35.2
30,P2_15,15.276479,100.176095,12.1,2.389003504,0.598231939,1.387269141,0.227542732,0.675252144,2.13,0.887740799,1.524407744,-0.10909186,0.5310749,-0.065262235,0,0,0,6.5,40.8,14,0,7.51,4.8,1.98,0,0,59,16,35.3
31,P3_1,15.273959,100.174284,13.6,3.017293038,0.719451935,1.563321208,0.26259702,0.737541287,1.99,0.963998662,1.37236619,-0.036001338,0.693550703,-0.025901232,2,3,7,6.2,39.5,27,38,9.4,8.5,1.98,0,0,60,1,35.1
32,P3_2,15.274018,100.174484,15.5,3.713489566,0.968249315,1.677878354,0.324388672,0.775479882,2,1.494454952,2.61429286,0.494454952,1.447004984,0.478755669,0,1,2,6.6,41.4,12.4,13,9.4,8.5,1.98,0,0,60,1,35.1
33,P3_3,15.274079,100.174876,10.1,1.844130279,0.444552186,1.170730677,0.178870955,0.593507035,2.19,0.921658815,2.166646004,-0.073176447,0.409725441,-0.03253075,9,13,27,6.3,39.5,22,137,9.4,8.6,1.98,0,0,60,4,35.2
34,P3_4,15.27422,100.175452,9,2.933180876,0.741662569,1.531164539,0.266811952,0.726884075,1.61,1.900569528,2.653552771,0.900569528,1.409581279,0.66791871,6,8,17,6.65,41,23,90,9.4,8.6,1.98,0,0,59,3,35.5
35,P3_5,15.27436,100.175929,12,2.833405996,0.744213936,1.487976814,0.267902409,0.711837345,1.58,1.46424224,1.879878759,0.46424224,1.089709481,0.345495545,12,17,35,6.5,41,25,181,9.4,8.5,1.98,0,0,59,6,35.7
36,P3_6,15.274955,100.176149,4,1.782893713,0.426355966,1.173751583,0.174773937,0.597919851,1.23,0.728057531,1.073555946,-0.271555022,0.310411672,-0.115779104,2,4,8,6.38,39.6,23,46,9.4,4.8,1.98,0,0,57,1,35.9
37,P3_7,15.274825,100.175648,5,1.969671913,0.459556009,1.162479032,0.184186182,0.591046128,1.76,0.900899647,1.28324604,-0.098391636,0.414013846,-0.045216468,15,21,46,6.3,40,21,262,9.4,7,1.98,0,0,58,1,36.1
38,P3_8,15.274714,100.175184,5.1,1.509163828,0.3343022,0.956792461,0.142476923,0.511398797,1.83,1.081879868,2.37355876,0.081879868,0.36167482,0.02737262,1,1,3,6.7,40,25.8,16,9.4,7.2,1.98,0,0,56,12,36.1
39,P3_9,15.274601,100.174712,5.3,1.680016534,0.387461794,1.02949788,0.16082488,0.539481536,2,0.93881762,2.555868149,-0.06118238,0.363755959,-0.023705835,3,5,10,6.7,38,25.3,57,9.4,8.4,1.98,0,0,55,6,36
40,P3_10,15.274493,100.174205,5.3,1.354733733,0.311632839,0.814513207,0.132161191,0.442064116,1.62,0.575859845,1.288444996,-0.358740395,0.179456838,-0.111795288,1,1,2,6.4,40,26.5,15,9.4,6.8,1.98,0,0,53,6,36.1
41,P3_11,15.274953,100.174137,2.2,1.107352468,0.237107757,0.619568013,0.103762685,0.349876503,1.07,0.619065136,0.970381975,-0.256188601,0.146785146,-0.060744305,2,2,5,6.5,39,26.5,30,9.4,8.1,2.67,0,0,55,0,36.2
42,P3_12,15.275025,100.174424,4.3,1.462364073,0.330125579,0.875699421,0.139643806,0.471375789,1.1,0.701177109,1.428997517,-0.266673094,0.231476499,-0.08803561,1,2,4,6.2,39,25,23,9.4,7,2.67,0,0,55,1,36.6
43,P3_13,15.275188,100.175118,4.2,1.969679372,0.448639007,1.221155973,0.180843945,0.613354306,2.3,1.01891707,1.26988101,0.019266842,0.457125943,0.008643857,27,38,77,6.5,38,21,389,9.4,8.1,2.67,0,0,54,1,37
44,P3_14,15.275342,100.175762,3.3,1.846432344,0.40444151,1.19099647,0.167145166,0.604566026,1.86,0.540465719,1.155274868,-0.459534281,0.218586771,-0.185854738,0,1,2,6.3,38.4,24.5,14,9.4,8.2,2.67,0,0,53,1,37.1
45,P3_15,15.275495,100.176401,9.6,2.485243884,0.607080962,1.364289759,0.227469838,0.663025936,1.87,1.574159456,2.270862818,0.577531506,0.955642237,0.350608382,1,1,3,6.6,38,24.6,19,9.4,7.8,2.67,0,0,51,3,36.9
