Metric,Simple Voting,Weighted Voting
MAE,2.1691191037777773,2.1691191037777773
MSE,6.057719934205849,6.057719934205849
RMSE,2.4612435747414048,2.4612435747414048
R2,0.4081831930157114,0.4081831930157114
