Metric,Simple Voting,Weighted Voting
MAE,2.169119103860577,1.2000725553151408
MSE,6.057719934888517,2.1359467143374324
RMSE,2.4612435748800885,1.4614878426923135
R2,0.40818319294901717,0.7913259150146761
