id,max,7Mar_Clgr,count,sum,std,median,unique,percentile_95,percentile_90,percentile_85
1,7.183735847,3.125536355,6023,18825.10547,0.80935679,3.048651218,6019,4.601867867,4.19315176,3.916504335
2,7.294098854,2.947340546,6022,17748.88477,0.928866619,2.924567699,6017,4.535572076,4.153227282,3.90591836
3,7.82138443,3.706005713,6022,22317.56641,0.926253185,3.626364946,6021,5.37823565,4.898655128,4.624424005
4,7.711159706,2.786961455,6021,16780.29492,0.806761205,2.71370101,6018,4.248812199,3.839270592,3.615496635
5,8.130560875,3.907971475,6020,23525.98828,1.014395313,3.856816769,6006,5.600252438,5.180298281,4.899515891
10,7.716460228,2.73453649,6023,16470.11328,0.746904396,2.636965275,6019,4.051629782,3.726640606,3.525523233
9,8.178284645,3.254390801,6022,19597.94141,0.814107767,3.203388691,6020,4.662030315,4.302514839,4.06849072
8,10.22734165,4.071007867,6022,24515.60938,1.149271404,3.937426805,6021,6.135579133,5.597585821,5.254733729
7,7.187790871,3.63769515,6023,21909.83789,0.780168124,3.579620361,6015,4.99762187,4.665602779,4.466263294
6,7.151092529,3.834680391,6022,23092.44531,0.752577375,3.80618763,6017,5.088010287,4.796388435,4.608836627
11,4.826877117,2.451070521,6022,14760.34668,0.527112557,2.394260645,6019,3.428055263,3.164500523,2.998174596
12,7.451109886,3.049598737,6022,18364.68359,0.823181531,2.987104654,6020,4.509928775,4.089096928,3.866145658
13,6.41707325,3.188068323,6021,19195.35938,0.769412585,3.094736099,6016,4.560242176,4.227385521,4.012050629
14,6.441344738,3.224041565,6023,19418.40234,0.713997491,3.175494671,6020,4.440101194,4.144330502,3.95507822
15,5.47435236,2.847995825,6022,17150.63086,0.672940425,2.84299612,6019,3.971669912,3.708217478,3.526542187
26,8.843135834,3.467573129,6021,20878.25781,0.943309643,3.357067108,6018,5.188243866,4.696909904,4.394532204
28,3.841505527,1.893529718,6023,11404.72949,0.499884459,1.879169464,5988,2.713655472,2.533184052,2.405254817
29,5.04985714,2.351745585,6022,14162.21191,0.633533213,2.307792902,6014,3.447093701,3.212503862,3.039001799
30,5.925236225,3.039863923,6022,18306.06055,0.64987948,3.021157265,6020,4.121931291,3.846820164,3.696628666
25,5.657570839,2.406345191,6022,14491.01074,0.699984994,2.346427917,6016,3.633239102,3.32904911,3.119684887
24,4.85199976,1.955240102,6023,11776.41113,0.541007973,1.88523531,6016,2.97943058,2.679699183,2.488159037
23,3.789872169,1.942333368,6024,11700.61621,0.431099351,1.936542511,6021,2.679349864,2.510232377,2.38674432
22,4.545088291,2.208085976,6022,13297.09375,0.447615675,2.183305264,6017,2.988903797,2.772010064,2.649757326
21,7.428216934,2.505122007,6022,15085.84473,0.643267673,2.410758257,6021,3.701608801,3.314553881,3.098074651
16,6.096694946,2.322342479,6023,13987.46875,0.663229705,2.24969101,6016,3.545371008,3.175744152,2.9721699
17,6.514703751,2.929934965,6022,17644.06836,0.81516997,2.85946703,6020,4.411174417,3.976818514,3.742495584
18,6.549167156,2.752763116,6021,16574.38672,0.677754503,2.689627886,6019,3.926548481,3.575611115,3.37475872
19,6.933570385,3.451935027,6022,20787.55273,0.752106156,3.360324621,6019,4.860839438,4.490087223,4.207924771
20,7.313548088,3.279296226,6022,19747.92188,0.812843711,3.169321537,6021,4.782644153,4.33939414,4.050867653
27,5.090135098,2.162815445,6022,13024.47461,0.66400832,2.098567247,6006,3.333922434,3.058095551,2.886057961
41,7.091464043,2.937503244,6021,17686.70703,0.664160952,2.860007524,6018,4.154028893,3.825500011,3.614106178
42,6.249514103,3.439611074,6022,20713.33789,0.689792968,3.375119686,6017,4.661967754,4.379183722,4.153055143
43,9.378833771,3.908267667,6022,23535.58789,1.270492891,3.613253832,6018,6.474492669,5.697422266,5.200883675
44,6.628656864,2.909256055,6023,17522.44922,0.828929179,2.76835227,6021,4.516332626,3.991471863,3.67505188
45,10.18178272,4.492781027,6022,27055.52734,1.311337629,4.304283142,6021,7.086131287,6.271408367,5.803224373
40,7.259961128,3.618137958,6023,21792.04492,0.741494248,3.552382469,6019,4.916481829,4.571818829,4.35569272
39,8.42895031,3.450719757,6022,20780.23438,0.967985576,3.272983074,6020,5.282284808,4.645449162,4.34635222
38,7.974740982,3.711322806,6022,22349.58594,0.879410046,3.592251301,6022,5.359261012,4.878301859,4.577365971
37,9.126081467,3.945665373,6022,23760.79688,1.235757039,3.751000881,6020,6.272317171,5.692764473,5.266910362
36,7.033642769,2.948485882,6023,17758.73047,0.768916019,2.870068073,6021,4.3353724,3.973964024,3.745114183
31,8.155436516,3.598701895,6022,21671.38281,1.137046522,3.346786499,6021,5.958413935,5.290354586,4.820419931
32,11.74515343,5.429384574,6022,32695.75391,1.686231608,5.019203186,6021,8.888271713,7.959590816,7.323684168
33,7.627271652,2.948997556,6022,17758.86328,0.790754856,2.873880386,6019,4.394045782,3.994137859,3.745182252
34,8.933135033,4.20407594,6022,25316.94531,1.188870316,4.00350523,6020,6.648440528,5.801666975,5.329365444
35,7.784214973,3.551727974,6022,21388.50586,0.8771232,3.496950388,6022,5.088942146,4.642135143,4.40373323
