wkt_geom,id,mean
"MultiPolygon (((100.1734989940779883 15.27713905368598724, 100.1735408972619723 15.27713883413850482, 100.17354067108681193 15.27709815818982442, 100.17349876791089969 15.27709837773668866, 100.1734989940779883 15.27713905368598724)))",566,0.015590991
"MultiPolygon (((100.17349876791089969 15.27709837773668866, 100.17354067108681193 15.27709815818982442, 100.17354044491234788 15.27705748224098237, 100.1734985417444932 15.2770577017872391, 100.17349876791089969 15.27709837773668866)))",567,0.016195478
"MultiPolygon (((100.1734985417444932 15.2770577017872391, 100.17354044491234788 15.27705748224098237, 100.17354021873853753 15.27701680629199288, 100.17349831557876882 15.27701702583763854, 100.1734985417444932 15.2770577017872391)))",568,0.009269579
"MultiPolygon (((100.1735408972619723 15.27713883413850482, 100.17358280044527419 15.27713861458319045, 100.17358257426207047 15.27709793863512111, 100.17354067108681193 15.27709815818982442, 100.1735408972619723 15.27713883413850482)))",675,0.118071762
"MultiPolygon (((100.17354067108681193 15.27709815818982442, 100.17358257426207047 15.27709793863512111, 100.17358234807952044 15.2770572626868848, 100.17354044491234788 15.27705748224098237, 100.17354067108681193 15.27709815818982442)))",676,0.157235814
"MultiPolygon (((100.17354044491234788 15.27705748224098237, 100.17358234807952044 15.2770572626868848, 100.17358212189763833 15.27701658673851348, 100.17354021873853753 15.27701680629199288, 100.17354044491234788 15.27705748224098237)))",677,0.113335746
"MultiPolygon (((100.17354021873853753 15.27701680629199288, 100.17358212189763833 15.27701658673851348, 100.17358189571643834 15.2769759107899894, 100.17353999256540931 15.27697613034286128, 100.17354021873853753 15.27701680629199288)))",678,0.081959696
"MultiPolygon (((100.17353999256540931 15.27697613034286128, 100.17358189571643834 15.2769759107899894, 100.17358166953590626 15.27693523484131077, 100.1735397663929632 15.27693545439356626, 100.17353999256540931 15.27697613034286128)))",679,0.039974527
"MultiPolygon (((100.1735397663929632 15.27693545439356626, 100.17358166953590626 15.27693523484131077, 100.17358144335607051 15.27689455889248116, 100.17353954022118501 15.27689477844412203, 100.1735397663929632 15.27693545439356626)))",680,0.022859679
"MultiPolygon (((100.17353954022118501 15.27689477844412203, 100.17358144335607051 15.27689455889248116, 100.17358121717688846 15.27685388294350588, 100.17353931405007472 15.27685410249454279, 100.17353954022118501 15.27689477844412203)))",681,0.00422598
"MultiPolygon (((100.17358280044527419 15.27713861458319045, 100.17362470362792237 15.27713839502003168, 100.17362447743663267 15.27709771907257696, 100.17358257426207047 15.27709793863512111, 100.17358280044527419 15.27713861458319045)))",784,0.130428179
"MultiPolygon (((100.17358257426207047 15.27709793863512111, 100.17362447743663267 15.27709771907257696, 100.17362425124601089 15.2770570431249606, 100.17358234807952044 15.2770572626868848, 100.17358257426207047 15.27709793863512111)))",785,0.141399682
"MultiPolygon (((100.17358234807952044 15.2770572626868848, 100.17362425124601089 15.2770570431249606, 100.17362402505605701 15.2770163671771968, 100.17358212189763833 15.27701658673851348, 100.17358234807952044 15.2770572626868848)))",786,0.186091042
"MultiPolygon (((100.17358212189763833 15.27701658673851348, 100.17362402505605701 15.2770163671771968, 100.17362379886679946 15.27697569122928201, 100.17358189571643834 15.2769759107899894, 100.17358212189763833 15.27701658673851348)))",787,0.097022057
"MultiPolygon (((100.17358189571643834 15.2769759107899894, 100.17362379886679946 15.27697569122928201, 100.17362357267819561 15.27693501528121978, 100.17358166953590626 15.27693523484131077, 100.17358189571643834 15.2769759107899894)))",788,0.064859848
"MultiPolygon (((100.17358166953590626 15.27693523484131077, 100.17362357267819561 15.27693501528121978, 100.17362334649027389 15.27689433933299945, 100.17358144335607051 15.27689455889248116, 100.17358166953590626 15.27693523484131077)))",789,0.045605309
"MultiPolygon (((100.17358144335607051 15.27689455889248116, 100.17362334649027389 15.27689433933299945, 100.17362312030303428 15.27685366338463702, 100.17358121717688846 15.27685388294350588, 100.17358144335607051 15.27689455889248116)))",790,0.040517714
"MultiPolygon (((100.17358121717688846 15.27685388294350588, 100.17362312030303428 15.27685366338463702, 100.17362289411646259 15.27681298743612004, 100.17358099099840274 15.27681320699437606, 100.17358121717688846 15.27685388294350588)))",791,0.036851726
"MultiPolygon (((100.17358099099840274 15.27681320699437606, 100.17362289411646259 15.27681298743612004, 100.17362266793057302 15.27677231148744852, 100.17358076482057072 15.2767725310450917, 100.17358099099840274 15.27681320699437606)))",792,0.018517712
"MultiPolygon (((100.17358076482057072 15.2767725310450917, 100.17362266793057302 15.27677231148744852, 100.17362244174533714 15.27673163553863489, 100.17358053864342082 15.2767318550956599, 100.17358076482057072 15.2767725310450917)))",793,0.012493064
"MultiPolygon (((100.1736249298199084 15.27717907096735139, 100.17366683300993202 15.2771788513957496, 100.17366660680988844 15.27713817544904273, 100.17362470362792237 15.27713839502003168, 100.1736249298199084 15.27717907096735139)))",892,0.058117529
"MultiPolygon (((100.17362470362792237 15.27713839502003168, 100.17366660680988844 15.27713817544904273, 100.17366638061052697 15.27709749950220086, 100.17362447743663267 15.27709771907257696, 100.17362470362792237 15.27713839502003168)))",893,0.164721134
"MultiPolygon (((100.17362447743663267 15.27709771907257696, 100.17366638061052697 15.27709749950220086, 100.17366615441183342 15.27705682355519734, 100.17362425124601089 15.2770570431249606, 100.17362447743663267 15.27709771907257696)))",894,0.192253156
"MultiPolygon (((100.17362425124601089 15.2770570431249606, 100.17366615441183342 15.27705682355519734, 100.17366592821382199 15.27701614760804638, 100.17362402505605701 15.2770163671771968, 100.17362425124601089 15.2770570431249606)))",895,0.163801879
"MultiPolygon (((100.17362402505605701 15.2770163671771968, 100.17366592821382199 15.27701614760804638, 100.17366570201647846 15.27697547166074266, 100.17362379886679946 15.27697569122928201, 100.17362402505605701 15.2770163671771968)))",896,0.151888276
"MultiPolygon (((100.17362379886679946 15.27697569122928201, 100.17366570201647846 15.27697547166074266, 100.17366547581980285 15.27693479571328972, 100.17362357267819561 15.27693501528121978, 100.17362379886679946 15.27697569122928201)))",897,0.103706021
"MultiPolygon (((100.17362357267819561 15.27693501528121978, 100.17366547581980285 15.27693479571328972, 100.17366524962380936 15.27689411976568756, 100.17362334649027389 15.27689433933299945, 100.17362357267819561 15.27693501528121978)))",898,0.081836011
"MultiPolygon (((100.17362334649027389 15.27689433933299945, 100.17366524962380936 15.27689411976568756, 100.17366502342849799 15.27685344381793264, 100.17362312030303428 15.27685366338463702, 100.17362334649027389 15.27689433933299945)))",899,0.079745
"MultiPolygon (((100.17362312030303428 15.27685366338463702, 100.17366502342849799 15.27685344381793264, 100.17366479723385453 15.27681276787002851, 100.17362289411646259 15.27681298743612004, 100.17362312030303428 15.27685366338463702)))",900,0.063209141
"MultiPolygon (((100.17362289411646259 15.27681298743612004, 100.17366479723385453 15.27681276787002851, 100.17366457103989319 15.27677209192196806, 100.17362266793057302 15.27677231148744852, 100.17362289411646259 15.27681298743612004)))",901,0.088177953
