Seed,Cigr_CD,Cire_CD,EVI2_CD,NDRE_CD,NDVI_CD,Cigr_CV,Cire_CV,EVI2_CV,NDRE_CV,NDVI_CV,CHM,Maize_high,N,P,K,pH,SoilTemp,SoilHumi,EC,Water feed Per Area (m3/dunam),Uv radiation,Evapotranspiration,Daily rain,Rain rate,Humidity,Wind speed,Temperature
5.76,1.546575517,0.334185953,0.973829883,0.139142501,0.504996143,0.810975654,0.175236624,0.510645822,0.07296196,0.264804126,0.52436861,2,0,0,0,6.5,42,12.4,0,7.51,7.9,1.27,0,0,64,6,34.6
5.19,1.405988358,0.305246325,0.852397252,0.127804319,0.450484093,0.631266717,0.137050812,0.382712995,0.057382134,0.202260291,0.448984313,1.86,0,1,2,6.3,38.4,24.5,14,9.4,8.2,2.67,0,0,53,1,37.1
4,1.107789741,0.23924495,0.710508912,0.102471459,0.382373068,0.439345571,0.094883718,0.281785372,0.040639826,0.151647833,0.396596534,1.85,0,0,0,6.7,41,13,0,7.51,8.1,1.27,0,0,62,6,34.7
4.75,1.281025629,0.278713238,0.796181157,0.11882917,0.429927415,0.592533393,0.128917718,0.36827048,0.054963968,0.198861244,0.462546088,1.26,0,0,0,6.6,40,13.6,0,7.51,8.3,1.27,0,0,63,9,34.9
5.36,1.357953528,0.30998425,0.883471377,0.131143512,0.470516204,0.455720099,0.104028636,0.29648707,0.044010883,0.157902083,0.335593295,1.1,1,2,4,6.2,39,25,23,9.4,7,2.67,0,0,55,1,36.6
4.6,1.209303835,0.273701918,0.802144995,0.115970798,0.42473874,0.292251147,0.066145246,0.193853511,0.028026537,0.102646151,0.241668916,1.01,0,0,0,6.8,39.2,14.8,0,7.51,8.2,1.98,0,0,61,0,35.1
6.96,1.646908588,0.396274514,1.02722384,0.163449741,0.538008937,1.151583171,0.277090705,0.718275256,0.114290479,0.376196981,0.699239278,1.3,0,0,0,6.5,38.4,10.3,0,7.51,7.4,1.27,0,0,67,0,33.2
6.05,1.436250695,0.352926856,0.946987446,0.14515294,0.493010207,1.0630401,0.261218603,0.700912197,0.107434863,0.364901212,0.740149407,1.42,0,1,2,6.4,38.1,26.4,10,1.96,7,0.66,0,0,68,3,32.9
4.6,1.618682502,0.381550025,1.006909616,0.157205947,0.524911364,0.690852987,0.162845385,0.429748586,0.06709543,0.224031942,0.426799565,1.86,0,1,2,6.3,38.4,24.5,14,9.4,8.2,2.67,0,0,53,1,37.1
5.49,1.344864195,0.321846981,0.890088669,0.133865359,0.466946611,0.385926874,0.092358321,0.255422918,0.038414466,0.133996612,0.286963453,1.72,1,1,3,6.6,37,25,15,1.96,4.6,0.66,0,0,73,11,31.1
8.29,1.957349047,0.478926036,1.221957729,0.190160903,0.610706904,1.413062453,0.345749472,0.882163857,0.137282225,0.440885593,0.721926656,1.76,15,21,46,6.3,40,21,262,9.4,7,1.98,0,0,58,1,36.1
5.47,1.370857607,0.3123104,0.895559588,0.133461752,0.479287807,0.592278209,0.134933522,0.386925984,0.05766207,0.20707601,0.432049402,1.35,0,1,2,6.6,39.5,19.8,10,1.96,5.3,0.66,0,0,73,8,31.5
6.23,1.494349964,0.360284395,0.953512623,0.148742648,0.498169194,0.54776266,0.132064338,0.349515591,0.054522482,0.182606812,0.366555809,1.31,0,0,0,6.7,41.7,14.3,0,7.51,8.3,1.27,0,0,64,8,34.4
8.72,2.187739494,0.513903122,1.267942204,0.198939375,0.625424428,1.889065455,0.443744165,1.094840507,0.171779822,0.540040386,0.863478243,1.13,2,3,7,6.4,39.2,15.9,37,1.96,5.8,0.66,0,0,70,9,32.1
8.3,1.913946872,0.459661298,1.178634981,0.183160866,0.590836351,1.163730324,0.279486228,0.716641245,0.111366651,0.35924413,0.608026451,2,3,5,10,6.7,38,25.3,57,9.4,8.4,1.98,0,0,55,6,36
7.15,1.773173815,0.410421393,1.094037072,0.167213195,0.561751144,1.106572697,0.256128928,0.682748382,0.104351618,0.350568271,0.624063297,1.13,0,0,0,6.6,41,12,0,7.51,7.8,1.27,0,0,66,3,34
8.6,2.186340436,0.497718158,1.316766035,0.19641409,0.649970278,1.805358379,0.410987983,1.087312184,0.162187836,0.53670932,0.825744403,1.22,2,3,6,6.4,38.9,6.6,34,1.96,4.9,0.66,0,0,73,8,31.2
4.9,1.343242219,0.283580615,0.920274819,0.121876289,0.489383999,0.996200478,0.210314372,0.682511464,0.090388178,0.362946136,0.741638748,1.85,0,0,0,6.7,41,13,0,7.51,8.1,1.27,0,0,62,6,34.7
9.09,2.331240558,0.533166838,1.295971715,0.206342383,0.640179759,2.230905963,0.510219794,1.240194204,0.197461584,0.612626971,0.956960857,1.45,0,0,0,6.3,38.7,18.6,0,1.96,7.1,0.66,0,0,70,3,32.6
