index,CatBoost,Decision Tree,ElasticNet,Gradient Boosting,Huber,KNN,Lasso Regression,Linear Regression,M-estimators,Passive Aggressive,Random Forest,Ridge Regression,SVR,XGBoost,simple_voting,weighted_voting
30,5.5152678888200075,5.31,7.557470417472275,5.435083807174137,5.4093790131568005,6.862,7.47773574729659,5.589203172691163,5.355371977538155,7.6951117979217605,5.4304,5.9429521999011,7.157856769891474,5.372196197509766,6.1507163563838025,5.450843021984917
116,7.138789572762884,7.04,7.3362090783772,7.250062516872558,7.194121069223638,6.4159999999999995,7.396894485765349,7.149934468320057,7.1081591955772705,7.215204494973732,7.2637999999999945,7.145130915842399,7.0512969785237996,7.2541399002075195,7.1399816197461705,7.1508201723587215
79,10.144933040925087,9.87,7.530282837597811,9.983902818083552,9.779686338947748,10.028000000000002,7.45752543191378,10.003742163665342,9.715803376947564,7.932977118097065,9.879400000000015,9.749962219621237,7.205501459717715,9.954383850097656,9.231150046829612,9.832486611304784
127,9.050926850634957,9.09,7.384428086776009,9.127644456921907,8.874889976112446,6.860000000000001,7.396894485765349,8.682154734850961,8.847849537113072,6.745629444466661,9.142200000000004,8.408582829469365,7.020016233441875,9.10350227355957,8.266765636365156,8.802110774661804
196,6.2460148519340795,6.05,7.460633158799532,6.048795259708769,6.071926152239715,5.901999999999999,7.45752543191378,6.318701275452154,6.0542335771528375,6.695524872379108,6.093499999999995,6.469644041636522,6.822591522035201,5.981504917144775,6.40518536145689,6.147654893447731
137,10.256661438967354,11.27,7.53256242952262,10.97128528680774,11.164321933886857,8.706,7.43731511653097,10.62531255788943,11.144482602755605,6.797413827460032,10.751799999999994,10.076290914582938,7.104568885198742,10.577832221984863,9.601131943970511,10.979399181965835
209,8.401766847445298,8.53,7.460633158799532,8.305553348150141,8.349521913087006,7.176,7.45752543191378,8.550047392346634,8.356241687488609,6.773192763370399,8.505999999999986,8.357402267845561,6.827974137076278,8.3684663772583,7.9585946660558236,8.418097421251078
45,6.446130467575379,6.83,7.5010732163990745,6.658683788648894,6.724180138370028,7.273999999999999,7.53836669344502,6.8111006637433675,6.722207628508055,7.4527800776285735,6.689600000000004,6.917406628597953,6.613812472358569,6.665419101715088,6.917482919785002,6.752274992421169
158,8.962888259124815,8.67,7.3335302445772665,8.858347650173705,8.730805522848172,9.032,7.396894485765349,9.043721216363783,8.7036824832523,7.388153378508152,8.679399999999994,8.777315896197567,7.086106713612215,9.14645767211914,8.414950251610174,8.825266571171547
247,11.808340106747677,12.05,7.403978407125797,11.722537861927451,12.117127669228728,9.894,7.43731511653097,11.782136886969614,12.198742096763633,6.988767951843061,11.410299999999989,11.03709296847343,6.831712456216478,11.8976411819458,10.327120907412331,12.033547152067316
