Model,Average R2
CatBoost,0.8097860459069132
Decision Tree,0.5698989206220775
ElasticNet,0.6442278100075889
Gradient Boosting,0.8211347802441958
Huber,0.8696056223771446
KNN,0.6690810003887909
Lasso Regression,0.7036135652154396
Linear Regression,0.8704731630338832
M-estimators,0.863865971510985
Passive Aggressive,0.7087875783071184
Random Forest,0.8100811932597014
Ridge Regression,0.8686243905314122
SVR,0.7555861033587544
XGBoost,0.8003185331348189
