id,max,mean,count,sum,std,median,unique,percentile_95,percentile_90,percentile_85
1,0.5439003705978394,0.07117869578251222,5880,418.5307312011719,0.14336633052309547,0.0,1182,0.3801801219582558,0.34346166551113133,0.31927186697721477
2,0.5975638628005981,0.0999198870748905,5879,587.4290161132812,0.17355404955895162,0.0,1506,0.4477397859096527,0.4034250378608703,0.36289002001285553
3,0.7024106979370117,0.24218365804562564,5878,1423.5555419921875,0.23520431734075012,0.3153108060359955,3218,0.6211235225200653,0.5814093708992004,0.5229221940040588
4,0.5779328942298889,0.16260627468819114,5878,955.7996826171875,0.1877728189598521,0.0,2582,0.4522367253899574,0.4096676468849182,0.38122871816158294
5,0.6904470324516296,0.18613371395508976,5877,1093.9078369140625,0.2261666042679376,0.0,2469,0.5532809376716614,0.5169096469879151,0.4834078431129455
10,0.5713182687759399,0.03375914032350979,5879,198.46998596191406,0.1054866386600003,0.0,563,0.33017840087413786,0.0,0.0
9,0.5252790451049805,0.08540878983465025,5881,502.2890930175781,0.1524633965037256,0.0,1428,0.38195353746414185,0.34971874952316284,0.3292231559753418
8,0.6827865839004517,0.11156702187646202,5878,655.7909545898438,0.18336792433275717,0.0,1651,0.46864580810070033,0.4117856234312058,0.3706402629613876
7,0.6725611686706543,0.2743364682224337,5879,1612.8240966796875,0.2326551673476532,0.3518177270889282,3560,0.5857291996479035,0.5533499836921691,0.5298206269741058
6,0.6779550909996033,0.2636624498432185,5880,1550.335205078125,0.2366648994466936,0.3268386721611023,3431,0.6041712254285813,0.5738099932670594,0.5400033622980118
11,0.6143726110458374,0.24762954361525133,5879,1455.8140869140625,0.19380429955962888,0.33028918504714966,3751,0.4998753011226653,0.4570857882499694,0.43028822541236883
12,0.6989938020706177,0.37840127750318875,5880,2224.99951171875,0.1917819717408515,0.4256068766117096,4866,0.6015724390745163,0.5694378972053528,0.5467736631631851
13,0.720339298248291,0.2505421840449056,5879,1472.9375,0.2237086545785141,0.3240734934806824,3455,0.592371094226837,0.5400945544242859,0.4933689057826996
14,0.7561189532279968,0.3183361403206859,5879,1871.4981689453125,0.21774510070908482,0.3675243854522705,4238,0.6316528737545012,0.5757053136825561,0.5334326028823853
15,0.7516926527023315,0.3200866875650931,5881,1882.4298095703125,0.2308168077696027,0.3703845739364624,4109,0.6492915153503418,0.6083404421806335,0.5645177960395813
26,0.7341004610061646,0.1805621884830386,5881,1061.88623046875,0.22741276769130778,0.0,2446,0.6195611357688904,0.5225433707237244,0.4391143321990967
28,0.7470842003822327,0.3648337020355017,5880,2145.22216796875,0.21246908616111765,0.40201354026794434,4646,0.6639137119054794,0.6073034167289734,0.5678721904754639
29,0.6979851722717285,0.2712680002831001,5878,1594.5133056640625,0.22296253169859048,0.3424375057220459,3664,0.5722398340702056,0.5390196740627289,0.5093531012535095
30,0.6878756284713745,0.2089966463989943,5879,1228.6912841796875,0.21302591204455598,0.3031560778617859,3009,0.5419706642627707,0.48093201518058776,0.4391891479492188
