Scenario,Machine_Learing_Algorithms,Test_MAE,Test_MSE,Test_RMSE,Test_R2
CIgr_CD_16Env,Ridge,2.322217665,8.246531086,2.871677399,0.194344448
CIgr_CD_16Env,SVR,2.611752526,8.406557672,2.899406434,0.178710443
CIgr_CD_16Env,XGBoost,1.671209791,4.219305758,2.054094876,0.587789451
CIre_CD_16Env,CatBoost,1.895740592,5.219797327,2.284687578,0.490045129
CIre_CD_16Env,Decision_Tree ,1.9,4.794444444,2.189621987,0.531600531
CIre_CD_16Env,ElasticNet,2.507459886,7.881358051,2.807375652,0.230020502
CIre_CD_16Env,Gradient_Boosting ,1.472977808,2.942913929,1.715492328,0.712488206
CIre_CD_16Env,Huber ,3.757592578,22.64180938,4.758341032,-1.212020938
CIre_CD_16Env,KNN,3.111111111,12.01226667,3.465871704,-0.173553974
CIre_CD_16Env,Lasso,2.512646628,7.808705377,2.794406087,0.237118399
CIre_CD_16Env,Linear ,2.820071624,11.02066901,3.319739298,-0.076678555
CIre_CD_16Env,M-estimators,3.757592578,22.64180938,4.758341032,-1.212020938
CIre_CD_16Env,Passive_Aggressive ,2.286979746,8.140157334,2.853096096,0.20473677
CIre_CD_16Env,RF ,1.890444444,5.082069111,2.254344497,0.503500666
CIre_CD_16Env,Ridge,2.165414171,7.053032887,2.655754674,0.310944803
CIre_CD_16Env,SVR,2.607198077,8.349955517,2.889628958,0.184240264
CIre_CD_16Env,XGBoost,1.496657753,3.188391,1.78560662,0.688506005
EVI2_CD_16Env,CatBoost,2.181615417,7.070386525,2.659019843,0.309249417
EVI2_CD_16Env,Decision_Tree ,1.644444444,4.411111111,2.100264534,0.569050778
EVI2_CD_16Env,ElasticNet,2.581678696,8.671782767,2.944789087,0.152798934
EVI2_CD_16Env,Gradient_Boosting ,1.631396961,3.899126093,1.974620493,0.619069818
EVI2_CD_16Env,Huber ,4.178132644,29.18641277,5.402445073,-1.851404456
EVI2_CD_16Env,KNN,2.955555556,11.33217778,3.366330016,-0.107111808
EVI2_CD_16Env,Lasso,2.559644657,8.5684135,2.927185252,0.162897728
EVI2_CD_16Env,Linear ,3.380450996,17.45488555,4.177904445,-0.705277686
EVI2_CD_16Env,M-estimators,4.178132644,29.18641277,5.402445073,-1.851404456
EVI2_CD_16Env,Passive_Aggressive ,3.26554032,17.99105143,4.241585957,-0.757659107
EVI2_CD_16Env,RF ,1.984888889,6.205570667,2.491098285,0.393738724
EVI2_CD_16Env,Ridge,2.643071966,12.05957566,3.472689974,-0.178175887
EVI2_CD_16Env,SVR,2.558934947,8.354432623,2.89040354,0.183802868
EVI2_CD_16Env,XGBoost,1.919406997,5.569444278,2.359967008,0.455885917
NDRE_CD_16Env,CatBoost,1.865814617,5.135520861,2.266168763,0.498278628
NDRE_CD_16Env,Decision_Tree ,1.422222222,3.244444444,1.801234145,0.683029791
NDRE_CD_16Env,ElasticNet,2.494223595,7.814463732,2.795436233,0.236555829
NDRE_CD_16Env,Gradient_Boosting ,1.399451862,3.307123178,1.818549746,0.676906311
NDRE_CD_16Env,Huber ,3.75513697,23.67875232,4.866081824,-1.313326423
NDRE_CD_16Env,KNN,3.015555556,11.14653333,3.338642439,-0.088975033
NDRE_CD_16Env,Lasso,2.491172639,7.705998862,2.775968094,0.247152445
NDRE_CD_16Env,Linear ,2.839750126,11.41873296,3.379161576,-0.115567929
NDRE_CD_16Env,M-estimators,3.75513697,23.67875232,4.866081824,-1.313326423
NDRE_CD_16Env,Passive_Aggressive ,1.82381209,5.346855252,2.312326805,0.47763204
NDRE_CD_16Env,RF ,1.863333333,5.133429556,2.265707297,0.498482941
NDRE_CD_16Env,Ridge,2.205060921,7.59971852,2.756758698,0.257535641
NDRE_CD_16Env,SVR,2.574984483,8.201137846,2.863762882,0.1987792
NDRE_CD_16Env,XGBoost,1.782988082,4.326455749,2.080013401,0.577321293
NDVI_CD_16Env,CatBoost,2.170171195,7.219397255,2.686893607,0.29469162
NDVI_CD_16Env,Decision_Tree ,1.733333333,3.944444444,1.986062548,0.614642383
NDVI_CD_16Env,ElasticNet,2.598562305,8.768871257,2.961227998,0.143313748
NDVI_CD_16Env,Gradient_Boosting ,1.707388583,4.174417345,2.043139091,0.592174882
NDVI_CD_16Env,Huber ,4.30915408,30.36685254,5.51061272,-1.966729051
NDVI_CD_16Env,KNN,2.955555556,11.33217778,3.366330016,-0.107111808
NDVI_CD_16Env,Lasso,2.578882709,8.675271582,2.945381398,0.152458089
NDVI_CD_16Env,Linear ,3.420750712,18.87070766,4.344042779,-0.843598264
NDVI_CD_16Env,M-estimators,4.30915408,30.36685254,5.51061272,-1.966729051
NDVI_CD_16Env,Passive_Aggressive ,2.97959544,14.02959832,3.745610541,-0.370639807
NDVI_CD_16Env,RF ,2.019888889,6.379382778,2.525744005,0.376757924
NDVI_CD_16Env,Ridge,2.706748043,13.43352498,3.665177346,-0.312405648
NDVI_CD_16Env,SVR,2.556427923,8.350658209,2.889750544,0.184171614
NDVI_CD_16Env,XGBoost,1.520142529,3.643854907,1.908888396,0.644008868
CIgr_CD_6FE,CatBoost,1.926078935,5.287812804,2.299524473,0.483400269
CIgr_CD_6FE,Decision_Tree ,2.233333333,6.69,2.586503431,0.346411772
CIgr_CD_6FE,ElasticNet,2.51601616,7.973466338,2.823732696,0.221021863
CIgr_CD_6FE,Gradient_Boosting ,1.452251103,2.672359637,1.634735342,0.738920359
CIgr_CD_6FE,Huber ,1.826906867,5.496878985,2.344542383,0.462975277
CIgr_CD_6FE,KNN,2.271111111,7.747466667,2.783427144,0.243101194
CIgr_CD_6FE,Lasso,2.578655281,8.220019333,2.867057609,0.196934548
CIgr_CD_6FE,Linear ,1.709314442,4.696158066,2.167062082,0.541202746
CIgr_CD_6FE,M-estimators,1.826906867,5.496878985,2.344542383,0.462975277
CIgr_CD_6FE,Passive_Aggressive ,1.593458975,5.43229218,2.330727822,0.469285169
CIgr_CD_6FE,RF ,1.779666667,3.929397222,1.982270724,0.616112441
CIgr_CD_6FE,Ridge,1.816963132,5.613214191,2.369222276,0.451609758
CIgr_CD_6FE,SVR,2.518549018,8.1290627,2.851151118,0.205820675
CIgr_CD_6FE,XGBoost,1.413288614,2.58009807,1.606268368,0.747933972
CIre_CD_6FE,CatBoost,1.63063626,3.486103288,1.867110947,0.659420617
CIre_CD_6FE,Decision_Tree ,2.166666667,6.241111111,2.49822159,0.390266554
CIre_CD_6FE,ElasticNet,2.459583327,7.652805684,2.766370489,0.252349222
CIre_CD_6FE,Gradient_Boosting ,1.273118714,2.214204062,1.488020182,0.783680462
CIre_CD_6FE,Huber ,1.61431639,4.173270275,2.042858359,0.592286947
CIre_CD_6FE,KNN,2.593333333,9.371244444,3.061248837,0.084464118
CIre_CD_6FE,Lasso,2.512646628,7.808705377,2.794406087,0.237118399
CIre_CD_6FE,Linear ,1.504860893,3.592274725,1.895329714,0.649048061
CIre_CD_6FE,M-estimators,1.61431639,4.173270275,2.042858359,0.592286947
CIre_CD_6FE,Passive_Aggressive ,1.637383118,5.971380553,2.44364084,0.416618231
CIre_CD_6FE,RF ,1.744666667,3.860886222,1.964913795,0.622805712
CIre_CD_6FE,Ridge,1.683606467,4.597386281,2.144151646,0.550852384
CIre_CD_6FE,SVR,2.424761938,7.469135636,2.732971942,0.270293105
CIre_CD_6FE,XGBoost,1.149947453,1.739440691,1.318878573,0.830063085
EVI2_CD_6FE,CatBoost,2.085794176,6.271056694,2.504207798,0.387340982
EVI2_CD_6FE,Decision_Tree ,1.966666667,5.267777778,2.295163998,0.485357617
EVI2_CD_6FE,ElasticNet,2.55144497,8.488235499,2.913457654,0.170730822
EVI2_CD_6FE,Gradient_Boosting ,1.674072853,3.602317601,1.897977239,0.648066909
EVI2_CD_6FE,Huber ,2.139733594,7.774746099,2.78832317,0.240436095
EVI2_CD_6FE,KNN,2.615555556,10.17248889,3.189433945,0.006185502
EVI2_CD_6FE,Lasso,2.559644657,8.5684135,2.927185252,0.162897728
EVI2_CD_6FE,Linear ,2.135948576,7.556354152,2.748882346,0.261772179
EVI2_CD_6FE,M-estimators,2.139733594,7.774746099,2.78832317,0.240436095
EVI2_CD_6FE,Passive_Aggressive ,3.1002623,13.45638462,3.668294511,-0.314638951
EVI2_CD_6FE,RF ,1.901888889,4.571793,2.138175157,0.553352752
EVI2_CD_6FE,Ridge,2.170792028,8.284326865,2.878250661,0.190651941
EVI2_CD_6FE,SVR,2.534823039,8.755599476,2.958986224,0.144610352
EVI2_CD_6FE,XGBoost,1.388127295,2.81329684,1.677288538,0.725151316
NDRE_CD_6FE,CatBoost,1.645432694,3.838174791,1.959126027,0.625024535
NDRE_CD_6FE,Decision_Tree ,1.777777778,4.871111111,2.207059381,0.524110481
NDRE_CD_6FE,ElasticNet,2.453303775,7.601602821,2.757100437,0.257351552
NDRE_CD_6FE,Gradient_Boosting ,1.442033903,2.885634909,1.698715665,0.718084154
NDRE_CD_6FE,Huber ,1.675938363,4.314647371,2.077172928,0.578474928
NDRE_CD_6FE,KNN,2.615555556,9.415688889,3.068499452,0.08012206
NDRE_CD_6FE,Lasso,2.491172639,7.705998862,2.775968094,0.247152445
NDRE_CD_6FE,Linear ,1.58129071,3.77265937,1.942333486,0.631425149
NDRE_CD_6FE,M-estimators,1.675938363,4.314647371,2.077172928,0.578474928
NDRE_CD_6FE,Passive_Aggressive ,2.729590505,11.42269667,3.379748018,-0.115955168
NDRE_CD_6FE,RF ,1.700333333,3.872249,1.96780309,0.621695611
NDRE_CD_6FE,Ridge,1.70375019,4.822090029,2.195925779,0.528899659
NDRE_CD_6FE,SVR,2.407263515,7.420298321,2.724022452,0.27506433
NDRE_CD_6FE,XGBoost,1.456316519,2.694711372,1.641557606,0.736736677
NDVI_CD_6FE,CatBoost,2.173455018,6.857113497,2.618609077,0.330085402
NDVI_CD_6FE,Decision_Tree ,2.077777778,5.285555556,2.299033613,0.483620794
NDVI_CD_6FE,ElasticNet,2.570141496,8.586599037,2.930289924,0.161121069
NDVI_CD_6FE,Gradient_Boosting ,1.78607265,3.693834436,1.921935076,0.639126053
NDVI_CD_6FE,Huber ,2.179802559,8.228398461,2.868518513,0.196115939
NDVI_CD_6FE,KNN,2.575555556,9.757022222,3.123623252,0.046775057
NDVI_CD_6FE,Lasso,2.578882709,8.675271582,2.945381398,0.152458089
