Scenario,Machine_Learing_Algorithms,MAE,MSE,RMSE,R2
EVI2_CV_16Env,Ridge,2.64445805,9.43855805,3.072223633,0.077887828
EVI2_CV_16Env,SVR,2.777645459,9.208895463,3.034616197,0.100325012
EVI2_CV_16Env,XGBoost,1.523589701,4.201099074,2.049658282,0.589568176
NDRE_CV_16Env,CatBoost,2.097405817,6.584907836,2.566107526,0.356678887
NDRE_CV_16Env,Decision_Tree ,2.544444444,10.50111111,3.240541793,-0.025919672
NDRE_CV_16Env,ElasticNet,2.680506339,9.056692313,3.009433886,0.115194696
NDRE_CV_16Env,Gradient_Boosting ,1.807369786,5.981059746,2.445620524,0.41567261
NDRE_CV_16Env,Huber ,5.131545687,37.25237945,6.103472737,-2.639419534
NDRE_CV_16Env,KNN,2.884444444,10.14666667,3.185383284,0.008708238
NDRE_CV_16Env,Lasso,2.748628654,9.427452636,3.070415711,0.078972786
NDRE_CV_16Env,Linear ,3.83189445,19.91027737,4.462093384,-0.945160375
NDRE_CV_16Env,M-estimators,5.131545687,37.25237945,6.103472737,-2.639419534
NDRE_CV_16Env,Passive_Aggressive ,3.069942266,10.59530314,3.255042725,-0.035121884
NDRE_CV_16Env,RF ,2.040444444,6.306177111,2.511210288,0.383909847
NDRE_CV_16Env,Ridge,2.57133799,8.718155993,2.952652366,0.148268441
NDRE_CV_16Env,SVR,2.777677277,9.205244151,3.034014527,0.100681732
NDRE_CV_16Env,XGBoost,1.990223551,4.788789753,2.188330357,0.532152973
NDVI_CV_16Env,CatBoost,2.176091065,6.975800978,2.641174167,0.318490075
NDVI_CV_16Env,Decision_Tree ,3.966666667,21.30111111,4.615312678,-1.081039682
NDVI_CV_16Env,ElasticNet,2.717654395,9.321258381,3.053073596,0.089347571
NDVI_CV_16Env,Gradient_Boosting ,2.403429975,8.49428322,2.914495363,0.170139982
NDVI_CV_16Env,Huber ,5.550875422,42.44309687,6.514836673,-3.146533406
NDVI_CV_16Env,KNN,2.995555556,11.11555556,3.333999933,-0.085948619
NDVI_CV_16Env,Lasso,2.772901651,9.65740458,3.107636494,0.056507332
NDVI_CV_16Env,Linear ,4.047662642,22.19524363,4.711182827,-1.168393118
NDVI_CV_16Env,M-estimators,5.550875422,42.44309687,6.514836673,-3.146533406
NDVI_CV_16Env,Passive_Aggressive ,3.612670367,15.97976164,3.997469404,-0.561163542
NDVI_CV_16Env,RF ,1.734666667,4.979230444,2.231418931,0.513547623
NDVI_CV_16Env,Ridge,2.685677394,9.696006814,3.113841167,0.052736037
NDVI_CV_16Env,SVR,2.796152964,9.304006124,3.050246896,0.091033053
NDVI_CV_16Env,XGBoost,1.4879872,4.853450787,2.203054876,0.52583583
CIgr_CV_6FE,CatBoost,1.68577611,4.243135322,2.059887211,0.585461391
CIgr_CV_6FE,Decision_Tree ,2.255555556,8.494444444,2.914523022,0.170124231
CIgr_CV_6FE,ElasticNet,2.649052772,8.953152623,2.992181917,0.125310141
CIgr_CV_6FE,Gradient_Boosting ,1.618461877,4.288201637,2.070797343,0.581058578
CIgr_CV_6FE,Huber ,1.479400623,4.670780066,2.161198757,0.543682083
CIgr_CV_6FE,KNN,2.711111111,8.882666667,2.980380289,0.132196357
CIgr_CV_6FE,Lasso,2.761628988,9.487129941,3.080118495,0.073142534
CIgr_CV_6FE,Linear ,1.557407382,4.707789171,2.169744033,0.54006643
CIgr_CV_6FE,M-estimators,1.479400623,4.670780066,2.161198757,0.543682083
CIgr_CV_6FE,Passive_Aggressive ,3.149704949,13.59107029,3.68660688,-0.327797242
CIgr_CV_6FE,RF ,1.705333333,4.815251333,2.194368094,0.529567775
CIgr_CV_6FE,Ridge,1.929011703,5.733291929,2.394429354,0.439878608
CIgr_CV_6FE,SVR,2.699678071,8.961673217,2.993605388,0.12447771
CIgr_CV_6FE,XGBoost,1.451804596,2.887035781,1.699127947,0.717947294
CIre_CV_6FE,CatBoost,1.488427463,3.199972391,1.788846665,0.687374546
CIre_CV_6FE,Decision_Tree ,1.988888889,7.205555556,2.68431659,0.296043903
CIre_CV_6FE,ElasticNet,2.636031504,8.894187367,2.982312419,0.131070828
CIre_CV_6FE,Gradient_Boosting ,1.236204304,3.113825634,1.764603535,0.695790765
CIre_CV_6FE,Huber ,1.445467843,4.519289528,2.125862067,0.558482147
CIre_CV_6FE,KNN,2.677777778,8.793466667,2.965377997,0.140910867
CIre_CV_6FE,Lasso,2.750861879,9.426015098,3.070181607,0.079113228
CIre_CV_6FE,Linear ,1.535716296,4.548854932,2.132804476,0.555593717
CIre_CV_6FE,M-estimators,1.445467843,4.519289528,2.125862067,0.558482147
CIre_CV_6FE,Passive_Aggressive ,3.857882257,19.53856873,4.420245325,-0.908845817
CIre_CV_6FE,RF ,1.490444444,3.960794667,1.990174532,0.613045027
CIre_CV_6FE,Ridge,1.905847087,5.575177858,2.361181454,0.455325767
CIre_CV_6FE,SVR,2.701814861,8.951735095,2.991945035,0.125448628
CIre_CV_6FE,XGBoost,1.005876615,1.50886651,1.228359276,0.852589329
EVI2_CV_6FE,CatBoost,1.706069686,4.175954237,2.043515167,0.592024734
EVI2_CV_6FE,Decision_Tree ,2.1,7.83,2.798213716,0.235037993
EVI2_CV_6FE,ElasticNet,2.66898113,9.094595962,3.015724782,0.11149165
EVI2_CV_6FE,Gradient_Boosting ,1.453140874,3.446942322,1.85659428,0.663246499
EVI2_CV_6FE,Huber ,1.598896548,4.873846027,2.207678878,0.52384329
EVI2_CV_6FE,KNN,2.68,8.786844444,2.964261197,0.141557834
EVI2_CV_6FE,Lasso,2.757271717,9.528720075,3.086862497,0.069079332
EVI2_CV_6FE,Linear ,1.657739903,5.013033727,2.238980511,0.510245167
EVI2_CV_6FE,M-estimators,1.598896548,4.873846027,2.207678878,0.52384329
EVI2_CV_6FE,Passive_Aggressive ,1.507914263,6.464176966,2.542474575,0.368473846
EVI2_CV_6FE,RF ,1.489,3.755809222,1.937991027,0.633071346
EVI2_CV_6FE,Ridge,1.994870941,6.107088374,2.47125239,0.403360079
EVI2_CV_6FE,SVR,2.69774167,8.98634785,2.997723778,0.12206709
EVI2_CV_6FE,XGBoost,1.301467705,2.389419434,1.545774704,0.766562569
NDRE_CV_6FE,CatBoost,1.659961088,3.999234596,1.99980864,0.609289588
NDRE_CV_6FE,Decision_Tree ,2.122222222,8.334444444,2.88694379,0.185755639
NDRE_CV_6FE,ElasticNet,2.644539277,8.935746209,2.989271853,0.127010683
NDRE_CV_6FE,Gradient_Boosting ,1.631716057,4.608256188,2.14668493,0.549790434
NDRE_CV_6FE,Huber ,1.459696667,4.524019726,2.126974313,0.558020024
NDRE_CV_6FE,KNN,2.711111111,8.882666667,2.980380289,0.132196357
NDRE_CV_6FE,Lasso,2.748628654,9.427452636,3.070415711,0.078972786
NDRE_CV_6FE,Linear ,1.547091967,4.590890167,2.142636266,0.55148703
NDRE_CV_6FE,M-estimators,1.459696667,4.524019726,2.126974313,0.558020024
NDRE_CV_6FE,Passive_Aggressive ,3.28481008,14.64774876,3.827237745,-0.431030816
NDRE_CV_6FE,RF ,1.519888889,4.183693222,2.045407838,0.591268664
NDRE_CV_6FE,Ridge,1.917743503,5.656151179,2.378266423,0.447414973
NDRE_CV_6FE,SVR,2.725538847,9.073517143,3.012227937,0.113550973
NDRE_CV_6FE,XGBoost,1.35875348,2.467840313,1.570936126,0.758901139
NDVI_CV_6FE,CatBoost,1.684661138,4.769011172,2.183806578,0.534085267
NDVI_CV_6FE,Decision_Tree ,1.355555556,2.253333333,1.5011107,0.779857677
NDVI_CV_6FE,ElasticNet,2.69049335,9.234431365,3.038820719,0.097830249
NDVI_CV_6FE,Gradient_Boosting ,1.595870038,4.293747754,2.072136037,0.580516743
NDVI_CV_6FE,Huber ,1.672717058,5.053908657,2.248090002,0.506251838
NDVI_CV_6FE,KNN,2.711111111,8.882666667,2.980380289,0.132196357
NDVI_CV_6FE,Lasso,2.772901651,9.65740458,3.107636494,0.056507332
NDVI_CV_6FE,Linear ,1.681356092,5.098369779,2.257956992,0.501908151
NDVI_CV_6FE,M-estimators,1.672717058,5.053908657,2.248090002,0.506251838
NDVI_CV_6FE,Passive_Aggressive ,2.34390298,8.707852788,2.950907113,0.149275026
NDVI_CV_6FE,RF ,1.553666667,4.705207,2.169148911,0.540318699
NDVI_CV_6FE,Ridge,2.040790268,6.28896705,2.5077813,0.385591206
NDVI_CV_6FE,SVR,2.735146849,9.180289809,3.029899307,0.103119679
NDVI_CV_6FE,XGBoost,1.326520803,3.044677786,1.744900509,0.702546254
