Scenario,Machine_Learing_Algorithms,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2
NDRE_CD,ElasticNet,1.774216069,2.554998341,4.536670254,8.103325832,2.129946068,2.846634123,0.532248456,0.208335071
NDRE_CD,Gradient_Boosting ,0.208157671,2.985155193,0.061813502,9.892692429,0.248623213,3.145265081,0.993626744,0.03352058
NDRE_CD,Huber ,1.437864925,2.127432397,3.132217077,6.121694197,1.769807073,2.474205771,0.67705403,0.401933144
NDRE_CD,KNN,1.428333333,2.415555556,2.932033333,7.199066667,1.712318117,2.683107651,0.697693894,0.296677843
NDRE_CD,Lasso,1.703149622,2.491172639,4.125423677,7.705998862,2.031113901,2.775968094,0.574649867,0.247152445
NDRE_CD,Linear ,1.428561655,2.151600161,3.125423677,6.178108233,1.767886783,2.48558006,0.677754461,0.396421702
NDRE_CD,M-estimators,1.437864925,2.127432397,3.132217077,6.121694197,1.769807073,2.474205771,0.67705403,0.401933144
NDRE_CD,Passive_Aggressive ,1.464434815,2.245943612,3.263721866,6.405662888,1.80657739,2.530941107,0.663495282,0.374190455
NDRE_CD,RF ,0.693,2.573333333,0.645461778,7.889268,0.803406359,2.808784079,0.933449926,0.229247729
NDRE_CD,Ridge,1.430948458,2.175130487,3.130225332,6.252168241,1.769244283,2.500433611,0.677259388,0.389186313
NDRE_CD,SVR,1.657313995,2.357306528,4.413006296,7.127955936,2.100715663,2.669823203,0.544998778,0.303625099
NDRE_CD,XGBoost,0.002933674,3.131621822,1.27E-05,10.99821355,0.003557273,3.316355463,0.999998695,-0.07448474
NDVI_CD,CatBoost,0.413189352,2.043223209,0.236142323,6.233398953,0.485944774,2.496677583,0.975652642,0.391020003
NDVI_CD,Decision_Tree ,0,2.122222222,0,7.51,0,2.740437921,1,0.266300808
NDVI_CD,ElasticNet,1.819972376,2.624752647,5.018463726,8.856443795,2.240192788,2.975977788,0.482573336,0.134758235
NDVI_CD,Gradient_Boosting ,0.289874408,2.076425594,0.119126918,6.83055042,0.345147676,2.613532173,0.987717467,0.332680516
NDVI_CD,Huber ,1.559300583,2.326490545,3.69929142,8.540728679,1.923354211,2.922452511,0.61858606,0.165602433
NDVI_CD,KNN,1.648888889,1.986666667,3.677044444,5.774222222,1.91756211,2.402961136,0.620879826,0.43587987
NDVI_CD,Lasso,1.769703942,2.578882709,4.695884865,8.675271582,2.166999046,2.945381398,0.515832698,0.152458089
NDVI_CD,Linear ,1.554605479,2.334136603,3.695884865,8.472443488,1.92246843,2.910746208,0.618937292,0.172273643
NDVI_CD,M-estimators,1.559300583,2.326490545,3.69929142,8.540728679,1.923354211,2.922452511,0.61858606,0.165602433
NDVI_CD,Passive_Aggressive ,2.092774528,2.852869007,6.394197722,12.69728126,2.528675092,3.563324468,0.340728841,-0.240477364
NDVI_CD,RF ,0.836083333,1.996111111,0.944375194,5.184746556,0.971789686,2.277003855,0.902630579,0.49346946
NDVI_CD,Ridge,1.552810534,2.338919698,3.700269821,8.431854156,1.923608541,2.903765513,0.618485183,0.176239071
NDVI_CD,SVR,1.644271814,2.503994016,4.405297592,8.606426382,2.09888008,2.933671144,0.545793581,0.15918401
NDVI_CD,XGBoost,0.005156132,2.12094059,3.50E-05,7.493453808,0.005919494,2.737417361,0.999996387,0.26791731
CIgr_CD_16Env,CatBoost,0.011426262,1.925186527,0.000174344,5.382258515,0.013203935,2.319969507,0.999982024,0.474173273
CIgr_CD_16Env,Decision_Tree ,0,1.566666667,0,3.785555556,0,1.94565042,1,0.630165239
CIgr_CD_16Env,ElasticNet,1.770345846,2.565980225,4.492624164,8.22693469,2.119581129,2.868263358,0.53678981,0.196258944
CIgr_CD_16Env,Gradient_Boosting ,0.034230931,1.518475527,0.00168833,3.400325958,0.041089291,1.843997277,0.999825925,0.667800745
CIgr_CD_16Env,Huber ,0.912651461,3.96429725,1.897403984,25.13314973,1.377462879,5.013297291,0.804368933,-1.455415665
CIgr_CD_16Env,KNN,1.883888889,2.906666667,5.5299,10.58933333,2.351573941,3.254125587,0.429841906,-0.034538656
CIgr_CD_16Env,Lasso,1.761443568,2.578655281,4.368401683,8.220019333,2.090072172,2.867057609,0.549597719,0.196934548
CIgr_CD_16Env,Linear ,0.950529368,3.06013854,1.394097486,12.76875339,1.180719055,3.57333925,0.856262145,-0.247459926
CIgr_CD_16Env,M-estimators,0.912651461,3.96429725,1.897403984,25.13314973,1.377462879,5.013297291,0.804368933,-1.455415665
CIgr_CD_16Env,Passive_Aggressive ,1.462398339,3.050668059,3.662690156,12.48050725,1.913815601,3.532776139,0.622359819,-0.219299345
CIgr_CD_16Env,RF ,0.727444444,1.713555556,0.805158833,4.736580222,0.897306432,2.176368586,0.916984425,0.537253651
CIgr_CD_16Env,Ridge,1.196935994,2.322217665,1.938559064,8.246531086,1.392321466,2.871677399,0.800125655,0.194344448
CIgr_CD_16Env,SVR,1.67662076,2.611752526,5.42025935,8.406557672,2.328145045,2.899406434,0.441146361,0.178710443
CIgr_CD_16Env,XGBoost,0.000574938,1.671209791,5.37E-07,4.219305758,0.000732731,2.054094876,0.999999945,0.587789451
CIre_CD_16Env,CatBoost,0.009380213,1.895740592,0.000120971,5.219797327,0.010998672,2.284687578,0.999987527,0.490045129
CIre_CD_16Env,Decision_Tree ,0,1.9,0,4.794444444,0,2.189621987,1,0.531600531
CIre_CD_16Env,ElasticNet,1.725267529,2.507459886,4.255156876,7.881358051,2.06280316,2.807375652,0.561273778,0.230020502
CIre_CD_16Env,Gradient_Boosting ,0.028917052,1.472977808,0.001112167,2.942913929,0.033349166,1.715492328,0.99988533,0.712488206
CIre_CD_16Env,Huber ,0.833588043,3.757592578,1.629991863,22.64180938,1.276711347,4.758341032,0.831940351,-1.212020938
CIre_CD_16Env,KNN,1.917777778,3.111111111,5.737,12.01226667,2.39520354,3.465871704,0.408488945,-0.173553974
CIre_CD_16Env,Lasso,1.70458831,2.512646628,4.086215689,7.808705377,2.021439014,2.794406087,0.578692391,0.237118399
CIre_CD_16Env,Linear ,0.857763714,2.820071624,1.204012006,11.02066901,1.097274809,3.319739298,0.875860831,-0.076678555
CIre_CD_16Env,M-estimators,0.833588043,3.757592578,1.629991863,22.64180938,1.276711347,4.758341032,0.831940351,-1.212020938
CIre_CD_16Env,Passive_Aggressive ,1.611253453,2.286979746,3.973635526,8.140157334,1.993397985,2.853096096,0.590299923,0.20473677
CIre_CD_16Env,RF ,0.684166667,1.890444444,0.687335944,5.082069111,0.829057262,2.254344497,0.929132507,0.503500666
CIre_CD_16Env,Ridge,1.118156733,2.165414171,1.698631868,7.053032887,1.303315721,2.655754674,0.824863251,0.310944803
