iter	Passed	Remaining
429	700	928
430	701	926
431	703	924
432	704	922
433	706	921
434	707	919
435	708	916
436	710	914
437	711	912
438	712	910
439	713	908
440	714	906
441	716	903
442	717	902
443	719	900
444	720	898
445	722	897
446	724	895
447	725	894
448	726	891
449	728	889
450	729	888
451	730	886
452	732	884
453	733	882
454	734	880
455	736	878
456	737	876
457	739	874
458	740	872
459	742	871
460	743	868
461	744	867
462	745	865
463	747	863
464	749	861
465	750	860
466	751	858
467	753	856
468	755	855
469	756	853
470	758	851
471	759	850
472	761	848
473	763	847
474	765	846
475	766	844
476	768	842
477	770	841
478	771	839
479	773	837
480	774	836
481	776	834
482	777	832
483	779	830
484	780	828
485	782	827
486	783	825
487	785	823
488	786	822
489	788	820
490	789	818
491	790	816
492	792	814
493	793	812
494	794	810
495	796	808
496	797	806
497	798	805
498	800	803
499	801	801
500	803	799
501	804	798
502	805	796
503	806	794
504	808	792
505	809	790
506	810	788
507	811	786
508	813	785
509	815	783
510	816	781
511	818	780
512	820	778
513	821	777
514	823	775
515	824	773
516	826	772
517	828	770
518	829	768
519	831	767
520	832	765
521	833	763
522	835	761
523	836	759
524	837	758
525	839	756
526	840	754
527	841	752
528	843	750
529	844	748
530	846	747
531	847	745
532	848	743
533	850	742
534	851	740
535	853	738
536	854	736
537	855	734
538	857	733
539	858	731
540	860	730
541	862	728
542	863	726
543	865	725
544	866	723
545	867	721
546	869	719
547	870	718
548	871	716
549	873	714
550	874	712
551	876	711
552	877	709
553	878	707
554	879	705
555	881	703
556	882	702
557	883	700
558	885	698
559	886	696
560	888	695
561	890	694
562	892	692
563	894	691
564	895	689
565	896	687
566	898	686
567	899	684
568	901	682
569	902	681
570	904	679
571	905	677
572	907	676
573	908	674
574	909	672
575	910	670
576	911	668
577	913	666
578	914	664
579	916	663
580	917	661
581	919	660
582	920	658
583	922	656
584	924	655
585	925	654
586	927	652
587	928	650
588	930	649
589	931	647
590	932	645
591	934	643
592	935	642
593	937	640
594	938	638
595	940	637
596	941	635
597	943	634
598	944	632
599	945	630
600	947	628
601	948	626
602	949	625
603	951	623
604	952	621
605	954	620
606	955	618
607	956	616
608	958	615
609	959	613
610	959	611
611	960	609
612	962	607
613	963	605
614	964	603
615	966	602
616	967	600
617	969	599
618	970	597
619	971	595
620	972	593
621	974	592
622	975	590
623	976	588
624	977	586
625	979	585
626	980	583
627	982	581
628	983	580
629	985	578
630	987	577
631	988	575
632	989	573
633	991	572
634	992	570
635	994	568
636	995	567
637	996	565
638	998	564
639	999	562
640	1000	560
641	1002	558
642	1003	557
643	1004	555
644	1006	553
645	1007	552
646	1009	550
647	1010	548
648	1011	547
649	1013	545
650	1015	544
651	1016	542
652	1017	540
653	1019	539
654	1020	537
655	1021	535
656	1023	534
657	1024	532
658	1025	530
659	1026	528
660	1028	527
661	1029	525
662	1031	524
663	1033	522
664	1034	521
665	1036	519
666	1037	517
667	1039	516
668	1041	515
669	1044	514
670	1046	513
671	1048	511
672	1049	510
673	1050	508
674	1052	506
675	1053	505
676	1055	503
677	1056	501
678	1058	500
679	1061	499
680	1062	497
681	1063	496
682	1065	494
683	1066	492
684	1067	491
685	1069	489
686	1070	487
687	1071	486
688	1073	484
689	1075	483
690	1076	481
691	1078	479
692	1079	478
693	1081	476
694	1082	474
695	1083	473
696	1084	471
697	1085	469
698	1087	468
699	1088	466
700	1090	465
701	1091	463
702	1093	462
703	1094	460
704	1095	458
705	1097	457
706	1099	455
707	1099	453
708	1101	452
709	1102	450
710	1104	448
711	1105	447
712	1107	445
713	1108	444
714	1109	442
715	1111	440
716	1112	439
717	1113	437
718	1114	435
719	1115	433
720	1117	432
721	1118	430
722	1119	429
723	1121	427
724	1122	425
725	1124	424
726	1125	422
727	1127	421
728	1128	419
729	1129	417
730	1131	416
731	1132	414
732	1133	412
733	1135	411
734	1137	410
735	1138	408
736	1140	406
737	1141	405
738	1143	403
739	1144	402
740	1145	400
741	1146	398
742	1148	397
743	1149	395
744	1150	393
745	1151	391
746	1152	390
747	1153	388
748	1155	387
749	1156	385
750	1158	384
751	1159	382
752	1160	380
753	1161	379
754	1163	377
755	1164	375
756	1165	374
757	1167	372
758	1170	371
759	1171	369
760	1173	368
761	1175	367
762	1176	365
763	1178	364
764	1180	362
765	1182	361
766	1183	359
767	1185	358
768	1186	356
769	1188	354
770	1189	353
771	1190	351
772	1192	350
773	1193	348
774	1194	346
775	1195	345
776	1196	343
777	1198	341
778	1199	340
779	1201	338
780	1202	337
781	1203	335
782	1205	334
783	1206	332
784	1207	330
785	1209	329
786	1210	327
787	1211	325
788	1212	324
789	1213	322
790	1215	321
791	1216	319
792	1218	318
793	1219	316
794	1221	314
795	1222	313
796	1223	311
797	1224	310
798	1226	308
799	1227	306
800	1228	305
801	1229	303
802	1231	302
803	1232	300
804	1233	298
805	1235	297
806	1236	295
807	1237	294
808	1239	292
809	1240	290
810	1241	289
811	1242	287
812	1244	286
813	1246	284
814	1247	283
815	1249	281
816	1250	280
817	1252	278
818	1253	277
819	1254	275
820	1255	273
821	1256	272
822	1257	270
823	1259	268
824	1260	267
825	1262	265
826	1263	264
827	1264	262
828	1266	261
829	1267	259
830	1269	258
831	1270	256
832	1273	255
833	1275	253
834	1279	252
835	1281	251
836	1283	249
837	1285	248
838	1287	247
839	1289	245
840	1291	244
841	1292	242
842	1294	241
843	1295	239
844	1297	237
845	1298	236
846	1300	234
847	1301	233
848	1302	231
849	1303	230
850	1305	228
851	1306	226
852	1307	225
853	1309	223
854	1310	222
855	1312	220
856	1313	219
857	1315	217
858	1317	216
859	1318	214
860	1320	213
861	1323	211
862	1325	210
863	1327	208
864	1328	207
865	1330	205
866	1332	204
867	1334	202
868	1335	201
869	1337	199
870	1338	198
871	1340	196
872	1342	195
873	1343	193
874	1344	192
875	1346	190
876	1347	188
877	1348	187
878	1350	185
879	1351	184
880	1352	182
881	1354	181
882	1356	179
883	1359	178
884	1361	176
885	1364	175
886	1366	174
887	1369	172
888	1371	171
889	1373	169
890	1375	168
891	1377	166
892	1379	165
893	1381	163
894	1382	162
895	1384	160
896	1385	159
897	1387	157
898	1388	155
899	1389	154
900	1390	152
901	1392	151
902	1394	149
903	1395	148
904	1396	146
905	1397	145
906	1399	143
907	1400	141
908	1401	140
909	1403	138
910	1404	137
911	1405	135
912	1406	134
913	1407	132
914	1409	130
915	1410	129
916	1411	127
917	1412	126
918	1413	124
919	1415	123
920	1416	121
921	1418	119
922	1419	118
923	1420	116
924	1422	115
925	1424	113
926	1425	112
927	1426	110
928	1428	109
929	1429	107
930	1430	106
931	1431	104
932	1432	102
933	1434	101
934	1435	99
935	1436	98
936	1438	96
937	1439	95
938	1440	93
939	1441	92
940	1443	90
941	1444	88
942	1446	87
943	1448	85
944	1450	84
945	1452	82
946	1454	81
947	1456	79
948	1458	78
949	1459	76
950	1461	75
951	1463	73
952	1464	72
953	1466	70
954	1467	69
955	1469	67
956	1470	66
957	1471	64
958	1472	62
959	1474	61
960	1475	59
961	1476	58
962	1478	56
963	1479	55
964	1481	53
965	1482	52
966	1484	50
967	1485	49
968	1486	47
969	1488	46
970	1490	44
971	1492	42
972	1495	41
973	1496	39
974	1498	38
975	1500	36
976	1502	35
977	1503	33
978	1504	32
979	1506	30
980	1508	29
981	1509	27
982	1510	26
983	1512	24
984	1513	23
985	1515	21
986	1516	19
987	1517	18
988	1518	16
989	1520	15
990	1521	13
991	1523	12
992	1524	10
993	1526	9
994	1527	7
995	1529	6
996	1530	4
997	1532	3
998	1533	1
999	1534	0
