,MAE,MSE,RMSE,R2
CatBoost,2.1090771860540682,6.4175869798948835,2.5332956755765568,0.37302551517128757
Decision Tree,1.7999999999999998,3.9577777777777765,1.989416441516903,0.6133397660113378
ElasticNet,3.2347015963482226,12.995072187100785,3.6048678459966856,-0.2695704343929122
Gradient Boosting,1.7194558279454126,3.591392505801426,1.895096964749146,0.6491342504282771
Huber,2.2427405252870796,9.04020156239995,3.00669279481625,0.11680578150476928
KNN,3.222222222222223,12.399288888888892,3.521262399891393,-0.21136461223012915
Lasso Regression,3.2309080843710434,12.933151038387829,3.5962690442162177,-0.263520967445922
Linear Regression,2.367247887484995,9.88448725975449,3.1439604418240523,0.03432219510298684
M-estimators,3.9303866328856336,23.522541554242892,4.850004283940674,-1.2980652103409405
Passive Aggressive,3.6380017219878433,16.668947824372495,4.082762278699618,-0.6284944804898951
Random Forest,1.9038888888888903,4.494408555555557,2.1200020178187464,0.560912926064407
Ridge Regression,2.7624318180839516,9.713844625693296,3.116704128673958,0.05099334859346649
SVR,3.2070793863472997,12.466069799439268,3.530732190274316,-0.2178888599138591
XGBoost,1.6608932495117186,3.5410245492613037,1.8817610234196327,0.65405501327926
