,MAE,MSE,RMSE,R2
CatBoost,2.1496419313369666,6.7386301341921335,2.595887157445819,0.3416607877583371
Decision Tree,3.2888888888888888,18.14,4.259107887809371,-0.7722108310215894
ElasticNet,2.7878169328829587,9.746889543196904,3.1220008877636314,0.047764982512424226
Gradient Boosting,2.0299271281246485,6.596101792944439,2.5682877161533986,0.3555852789428302
Huber,3.555074600090951,16.89102238046058,4.109868900641549,-0.6501903423197526
KNN,3.0999999999999996,11.194533333333332,3.3458232669005894,-0.09366445543360258
Lasso Regression,2.919589102417992,10.56785090831388,3.2508231124307394,-0.03243990299532529
Linear Regression,4.016910898063177,21.855624425177915,4.674999938521702,-1.1352135791091675
M-estimators,4.251364924940956,24.428930473607693,4.942563148165908,-1.3866160515766768
Passive Aggressive,2.797514810106976,9.900806803218508,3.1465547513460668,0.03272783613472552
Random Forest,1.9770000000000014,6.0506205555555646,2.459800917870299,0.40887677602219197
Ridge Regression,3.2815554782587317,13.526196714601623,3.677797807737889,-0.3214593340763856
SVR,3.0700521962193688,11.848259993266643,3.442130153446648,-0.15753112948329262
XGBoost,1.5250596311357283,4.200914985126506,2.0496133745481138,0.589586161144317
