,MAE,MSE,RMSE,R2
CatBoost,1.975307688754238,5.170474090349317,2.273867650139145,0.4948638266574664
Decision Tree,1.9555555555555557,5.04888888888889,2.246973272847029,0.5067422506332167
ElasticNet,2.702575439821191,9.02831088352736,3.0047147757361863,0.1179674568016933
Gradient Boosting,1.9854623910244138,6.006502425884489,2.4508166854916933,0.41318695392999205
Huber,2.3198144026618523,7.773077848357973,2.788024004265023,0.24059907644796075
KNN,2.7666666666666675,10.089022222222223,3.1763221219237545,0.014339886624050169
Lasso Regression,2.7022692371771604,9.026054354846856,3.0043392542865157,0.11818791129828099
Linear Regression,2.3981869046028668,7.883057369227838,2.807678288057205,0.22985448449227508
M-estimators,1.7084540557407921,7.166627848552362,2.6770558172276426,0.29984699585967767
Passive Aggressive,2.5109940025770054,9.818602627116954,3.1334649554633534,0.04075887975337933
Random Forest,2.263888888888884,6.2423794444444205,2.498475424022502,0.390142642624535
Ridge Regression,2.5359083132071616,7.963825956260304,2.822025151599522,0.22196369260995719
SVR,2.6069600122985506,8.348755914771568,2.889421380617851,0.18435746098601258
XGBoost,1.8467773331536188,4.586510273072005,2.1416139411836124,0.5519149292982363
