,Linear Regression,Ridge Regression,Lasso Regression,ElasticNet,SVR,Random Forest,Gradient Boosting,XGBoost,KNN,Decision Tree,Huber,Passive Aggressive,CatBoost,M-estimators
MAE,4.335242609280943,2.675411292813028,2.3519851144370088,2.268122195607704,3.064876479604958,1.9304444444444446,1.6592415614248894,2.159002780914307,3.0999999999999996,1.6555555555555557,3.1209512024122725,2.7150953644873166,1.9191244144069262,2.8119348574128886
MSE,27.366638989508534,10.414256568494585,7.367495098312698,6.893340179778737,11.812750217063147,5.381572666666668,3.753792724231292,6.16198498715792,11.194533333333334,4.41,15.933779256192906,9.252422068301492,5.3592201615963075,15.934372845041407
RMSE,5.231313314026272,3.2271127294370405,2.7143130066948244,2.62551712616367,3.4369681722505296,2.319821688549934,1.9374707028059268,2.4823345840474285,3.3458232669005894,2.1,3.9917138244359283,3.041779424662724,2.3149989549881673,3.991788176374268
R2,-1.673619295802908,-0.017434304725679972,0.2802230093314093,0.3265461891664725,-0.15406195583417537,0.4742402774092389,0.6332683504248768,0.3979968834160035,-0.0936644554336028,0.5691593293933181,-0.5566712335684783,0.09607262389045856,0.4764240343875277,-0.5567292250010298
