,MAE,MSE,RMSE,R2
Linear Regression,2.816941434320374,10.99825366221092,3.316361509578068,-0.07448865835132623
Ridge Regression,3.120328849932491,12.524960621391713,3.5390621104173507,-0.22364227515707236
Lasso Regression,3.1735843577084384,12.42216696614647,3.5245094646129793,-0.2135997156650149
ElasticNet,3.0731588915263917,11.771008722164959,3.430890368718441,-0.14998396634345879
SVR,3.0702812251278866,11.8501626001178,3.4424065129089274,-0.15771700712765857
Random Forest,1.8512222222222228,4.818414111111115,2.1950886339988904,0.5292587830177298
Gradient Boosting,1.5123123677903458,2.9085167471396196,1.7054374063974378,0.715848683490159
XGBoost,1.4428055392371286,2.737683499003699,1.654594663053069,0.7325384592699318
KNN,3.0999999999999996,11.194533333333332,3.3458232669005894,-0.09366445543360258
Decision Tree,1.7999999999999998,4.7622222222222215,2.1822516404443877,0.534748522494271
Huber,3.303663349973042,14.637029607209529,3.8258371119546544,-0.4299835944807282
Passive Aggressive,2.806372643313141,9.972150961015215,3.1578712704946055,0.025757776091867912
M-estimators,1.802447260436971,5.586941213453183,2.363671130562199,0.4541765308289619
