,MAE,MSE,RMSE,R2
Linear Regression,3.331298652302471,16.63767444949569,4.0789305521785595,-0.6254391875638052
Ridge Regression,3.1729403645704015,14.7937555263958,3.8462651398981587,-0.44529513645888286
Lasso Regression,3.1735843577084384,12.42216696614647,3.5245094646129793,-0.2135997156650149
ElasticNet,3.0570755579439153,11.625207273284966,3.4095758201402364,-0.13573970466298646
SVR,3.070815936500717,11.853365172869855,3.4428716462961346,-0.15802988662701511
Random Forest,1.8766666666666683,5.322012222222228,2.3069486821822083,0.48005911229043496
Gradient Boosting,1.5765892227535605,3.637060180640677,1.9071078051963075,0.644672687695218
XGBoost,1.8544839064280194,4.696328608769027,2.1671014301986484,0.541186084537099
KNN,3.0999999999999996,11.194533333333332,3.3458232669005894,-0.09366445543360258
Decision Tree,1.9333333333333331,5.337777777777777,2.310363126821794,0.4785188758895189
Huber,3.2669323471819585,17.57739371002592,4.192540245486729,-0.7172462797154737
Passive Aggressive,2.812319103569965,10.03943607963555,3.1685069164569533,0.019184269146689803
M-estimators,4.604538009444087,32.67675787027865,5.716358794746761,-2.1923982480913886
