,MAE,MSE,RMSE,R2
Linear Regression,3.50204251957474,19.21448207878877,4.383432682132665,-0.8771837515159693
Ridge Regression,3.3824750454157,14.639206694194876,3.826121625640627,-0.43019628781785646
Lasso Regression,3.1735843577084384,12.42216696614647,3.5245094646129793,-0.2135997156650149
ElasticNet,3.0731588915263917,11.771008722164959,3.430890368718441,-0.14998396634345879
SVR,3.070316514857468,11.850404163016693,3.442441599071318,-0.15774060692841863
Random Forest,1.939444444444445,5.7322145555555615,2.3942043679593357,0.43998386322518346
Gradient Boosting,1.6791738299414634,3.9125833717550753,1.9780251190910279,0.6177550921334446
XGBoost,1.7730989615122477,4.601265497978108,2.145056059402203,0.5504733984607083
KNN,3.0999999999999996,11.194533333333332,3.3458232669005894,-0.09366445543360258
Decision Tree,1.8444444444444446,4.864444444444445,2.2055485586231023,0.5247617898926548
Huber,3.25045353179331,15.077171252598552,3.8829333309494967,-0.47298380347422797
Passive Aggressive,2.807145793772644,9.976889808119273,3.1586215044096804,0.025294808276853264
M-estimators,3.1171284415375946,12.864960738264989,3.586775813772724,-0.2568590276196645
