,MAE,MSE,RMSE,R2
Linear Regression,3.0300380596886467,12.254576870973349,3.5006537776497333,-0.19722678392092763
Ridge Regression,2.6376754428993077,10.257846899642823,3.2027873641006552,-0.0021536592341919736
Lasso Regression,2.687365519707139,8.982161861082297,2.9970255022408963,0.12247604541350143
ElasticNet,2.714515171771286,9.135804577143254,3.0225493506547174,0.10746572096417373
SVR,3.0700721745654054,11.847726518935234,3.4420526606859507,-0.15747901101646833
Random Forest,1.6781111111111127,4.459905000000003,2.1118487161726343,0.5642837956820647
Gradient Boosting,1.5413540409931743,3.5835257055547256,1.8930202602071446,0.6499028076831109
XGBoost,1.7369487921396891,3.787641000362608,1.9461862707260598,0.629961499180592
KNN,3.0999999999999996,11.194533333333332,3.3458232669005894,-0.09366445543360258
Decision Tree,1.9333333333333331,5.337777777777777,2.310363126821794,0.4785188758895189
Huber,2.69076333494193,12.087772075314406,3.476747341311187,-0.18093057303156046
Passive Aggressive,2.801815124860592,9.972309172803861,3.157896320781267,0.0257423193859454
M-estimators,3.4252109672700617,15.584946301183457,3.947777387490771,-0.5225915455263055
