,MAE,MSE,RMSE,R2
Linear Regression,3.383961355282063,16.86432276108072,4.106619383517387,-0.6475818883699653
Ridge Regression,3.1780091512611044,14.197752323027261,3.76799048871242,-0.38706783037656245
Lasso Regression,3.1735843577084384,12.42216696614647,3.5245094646129793,-0.2135997156650149
ElasticNet,3.0514597783811244,11.582210007678658,3.4032646102938657,-0.13153903102396702
SVR,3.070429881807925,11.851022578263528,3.4425314200837045,-0.1578010238081602
Random Forest,1.9131111111111119,5.557035777777781,2.3573365855935338,0.457098181160294
Gradient Boosting,1.5876443549324801,3.669218938696618,1.9155205398785518,0.6415308961109323
XGBoost,1.858148733774821,4.582686876936047,2.1407211114332587,0.5522884609434089
KNN,3.0999999999999996,11.194533333333332,3.3458232669005894,-0.09366445543360258
Decision Tree,1.9222222222222218,4.989999999999999,2.2338307903688674,0.5124954770232784
Huber,4.066262800341947,21.016306525873933,4.584354537541128,-1.053215328182111
Passive Aggressive,2.807439103310095,9.985299643606803,3.159952474896862,0.024473198489746717
M-estimators,3.877557777642641,25.19879771435632,5.0198404072596094,-1.4618292303254874
