,MAE,MSE,RMSE,R2
Linear Regression,3.452951891744203,17.898051694933372,4.230608903566172,-0.7485733775052501
Ridge Regression,3.1414911170576842,13.807023192405302,3.715780293882471,-0.34889504111063707
Lasso Regression,3.1735843577084384,12.42216696614647,3.5245094646129793,-0.2135997156650149
ElasticNet,3.0514597783811244,11.582210007678658,3.4032646102938657,-0.13153903102396702
SVR,3.0701544029935364,11.849161810170767,3.4422611478751532,-0.15761923365556862
Random Forest,1.9252222222222228,5.6017276666666715,2.366796921298207,0.4527319491014349
Gradient Boosting,1.6220436997515755,3.6969238346219666,1.9227386287849857,0.6388242303649991
XGBoost,2.1181269751654734,7.105694139458093,2.6656507909810867,0.30579999361222354
KNN,3.0999999999999996,11.194533333333332,3.3458232669005894,-0.09366445543360258
Decision Tree,2.244444444444444,6.515555555555554,2.5525586292102194,0.3634543480882887
Huber,2.892484318031902,10.95585448756507,3.3099629133216992,-0.07034641598452618
Passive Aggressive,2.8055775512009338,9.968336541157358,3.157267258430518,0.026130430787907555
M-estimators,4.550249376186735,34.72731455093625,5.892988592466156,-2.3927300429692866
