,MAE,MSE,RMSE,R2
Linear Regression,3.4345301416911362,18.131522921625645,4.258112600862693,-0.7713826518534279
Ridge Regression,3.494931120429772,15.89921792016293,3.9873823393503325,-0.5532947190124196
Lasso Regression,3.1735843577084384,12.42216696614647,3.5245094646129793,-0.2135997156650149
ElasticNet,3.0731588915263925,11.771008722164966,3.4308903687184418,-0.14998396634345923
SVR,3.0705928286361743,11.85227417951923,3.4427132002999072,-0.15792330061640025
Random Forest,1.9327777777777788,5.757251666666671,2.399427362240139,0.4375378301773003
Gradient Boosting,1.655805883326868,3.9971593291779772,1.9992897061651613,0.6094923342619514
XGBoost,1.72663860850864,4.164042021741354,2.0405984469614187,0.5931885131334584
KNN,3.0999999999999996,11.194533333333332,3.3458232669005894,-0.09366445543360258
Decision Tree,1.5555555555555556,3.0088888888888885,1.7346149108343583,0.7060426969002533
Huber,4.2311619039539945,24.95528226660464,4.995526225194363,-1.4380386727716505
Passive Aggressive,2.8090130471225017,9.993912300170322,3.161314963772247,0.023631773834524195
M-estimators,4.502270288933078,30.63920244032765,5.535268958264599,-1.9933366272663604
