,MAE,MSE,RMSE,R2
Linear Regression,2.8172212775088434,10.925105661407708,3.3053147598084673,-0.06734236952602135
Ridge Regression,4.016661820446308,19.072319241078727,4.367186650588537,-0.8632949686737146
Lasso Regression,3.1735843577084384,12.42216696614647,3.5245094646129793,-0.2135997156650149
ElasticNet,3.0826860941946825,11.845378749587772,3.441711601745238,-0.15724964264456553
SVR,3.0709955909275006,11.854770691230945,3.443075760309515,-0.15816720056652556
Random Forest,1.7218888888888892,4.604852333333337,2.14589196683648,0.5501229779278733
Gradient Boosting,1.44558469169983,3.536630724466599,1.8805931842018886,0.654484273692203
XGBoost,1.515077273050944,3.145600067216498,1.7735839611409712,0.6926865209932018
KNN,3.0999999999999996,11.194533333333332,3.3458232669005894,-0.09366445543360258
Decision Tree,1.6222222222222222,4.424444444444444,2.103436341904467,0.5677481606561332
Huber,5.224103572567197,31.217443276140095,5.587257223015609,-2.0498286158091275
Passive Aggressive,2.8140731703920654,10.048983896037548,3.170013232785874,0.018251482837967292
M-estimators,3.5015398008682,18.501902937179416,4.301383839786844,-0.8075674079261035
