,MAE,MSE,RMSE,R2
Linear Regression,2.8171018041580655,10.924366491625873,3.30520294257794,-0.06727015537534142
Ridge Regression,3.5612649224863855,16.18586856117959,4.023166484397531,-0.5812994252268082
Lasso Regression,3.1735843577084384,12.42216696614647,3.5245094646129793,-0.2135997156650149
ElasticNet,3.0731588915263925,11.771008722164966,3.4308903687184418,-0.14998396634345923
SVR,3.0706093731784594,11.852420049821404,3.442734385604182,-0.15793755160479273
Random Forest,1.7306666666666666,4.70041977777778,2.168045151231353,0.5407863924737666
Gradient Boosting,1.361635429305881,2.8756293322432054,1.6957680655806693,0.7190616621496808
XGBoost,1.515959448284573,2.9702674058707563,1.723446374527144,0.7098158727831007
KNN,3.0999999999999996,11.194533333333332,3.3458232669005894,-0.09366445543360258
Decision Tree,1.9444444444444444,5.754444444444444,2.398842313376276,0.43781208539380057
Huber,4.321688597290409,25.84250110254776,5.083552016311799,-1.5247166678402708
Passive Aggressive,2.8091792885024756,9.994855985518315,3.161464215441686,0.023539579270313138
M-estimators,2.2297778942182234,9.295561254182434,3.0488622884909766,0.09185808516611138
