,MAE,MSE,RMSE,R2
Linear Regression,3.1007398893518148,13.084911667741693,3.6173072398873853,-0.27834741899297666
Ridge Regression,2.646380812500329,10.273889750737425,3.2052908995499028,-0.003720986382500735
Lasso Regression,2.687365519707139,8.982161861082297,2.9970255022408963,0.12247604541350143
ElasticNet,2.714515171771286,9.135804577143254,3.0225493506547174,0.10746572096417373
SVR,3.0694272934191598,11.843661135809542,3.4414620636888533,-0.15708183813843046
Random Forest,1.7467777777777787,4.717153888888892,2.1719009850563844,0.5391515317814495
Gradient Boosting,1.5439029020067339,3.3775966719088024,1.8378238957824014,0.6700213117541757
XGBoost,1.4147082964579263,3.230835408666554,1.7974524774431602,0.6843593437438297
KNN,3.0999999999999996,11.194533333333332,3.3458232669005894,-0.09366445543360258
Decision Tree,2.244444444444444,6.515555555555554,2.5525586292102194,0.3634543480882887
Huber,2.7809306909291305,12.031090144808056,3.4685861881763955,-0.17539295830352497
Passive Aggressive,2.795188700965406,9.90204451455591,3.1467514224285194,0.03260691632007151
M-estimators,2.7587707282347744,11.58261381422647,3.4033239361286887,-0.1315784814284695
