Feature Set,Model,MAE,MSE,RMSE,R2
Correlation Coefficient,Gradient Boosting,0.7211606071640864,1.7472868545239353,1.3218497851586373,0.7507400730035749
Correlation Coefficient,Huber,0.27887251749055203,0.516554668864937,0.7187173776004981,0.9263106806317629
Correlation Coefficient,KNN,0.9215555555555559,1.740624444444445,1.3193272696508798,0.7516905018617411
Correlation Coefficient,Lasso Regression,1.0929562996602582,2.0270349283180824,1.4237397684682698,0.7108324961390318
Correlation Coefficient,Linear Regression,0.44626244858702646,0.6337604910418789,0.7960907555309752,0.9095906357211404
Correlation Coefficient,M-estimators,0.3036724075033351,0.5313708834615221,0.7289519075093515,0.9241970674267266
Correlation Coefficient,Passive Aggressive,1.6203542936417281,4.4769834095944265,2.1158883263524157,0.36133408492690844
Correlation Coefficient,Random Forest,0.5317925925925914,1.1706203244444415,1.081952089717674,0.8330046747298093
Correlation Coefficient,Ridge Regression,0.44478964757228506,0.6372963363992213,0.7983084218516183,0.9090862282431353
Correlation Coefficient,SVR,0.6230855578219128,1.3111896645434593,1.1450719036564732,0.8129516975324484
Correlation Coefficient,XGBoost,0.6900957810437239,1.5628397042902202,1.2501358743313544,0.7770524573055108
SHAP Values,CatBoost,0.5465610660338915,0.9599551935149193,0.9797730316327957,0.8630571958829498
SHAP Values,Decision Tree,0.7485185185185186,3.4598333333333327,1.8600627229567643,0.506436048635281
SHAP Values,ElasticNet,1.0518191245878348,1.9185971084598963,1.3851343286699296,0.7263017380620287
SHAP Values,Gradient Boosting,0.6192116638530264,1.171668947439392,1.0824365789455712,0.8328550829839025
SHAP Values,Huber,0.27880869373297384,0.5165394901258756,0.7187068179208235,0.926312845961045
SHAP Values,KNN,0.6896296296296298,1.2008927407407408,1.095852517787289,0.828686150695542
SHAP Values,Lasso Regression,1.0929562996602582,2.0270349283180824,1.4237397684682698,0.7108324961390318
SHAP Values,Linear Regression,0.37555433849642456,0.5726964788361395,0.7567671232526817,0.9183017475715517
SHAP Values,M-estimators,0.2996836491688028,0.5269628828630515,0.7259220914554477,0.924825892570423
SHAP Values,Passive Aggressive,1.1766986794943277,2.3304506626854637,1.5265813645808284,0.6675485993923891
SHAP Values,Random Forest,0.674711111111111,1.742080514074068,1.319878977055877,0.7514827856480915
SHAP Values,Ridge Regression,0.3901318088348295,0.5882936594506137,0.7670030374454939,0.9160767253370812
SHAP Values,SVR,0.5385525506959977,1.357540151843483,1.1651352504509864,0.8063395496468625
SHAP Values,XGBoost,0.7634258411548756,2.6242114909177405,1.6199418171396591,0.6256420272631454
