Cire_CD,NDRE_CD,Seed
0.458969275,0.185192467,
0.576811759,0.220780522,
0.529403262,0.204466226,
0.418523693,0.166932585,
0.2734882,0.115762628,
0.352600319,0.147239599,
0.370438907,0.152839265,
0.349201996,0.145674507,
0.364989147,0.152301411,
0.28597336,0.121649395,
0.421010212,0.168391942,
0.648094881,0.240994312,
0.555403265,0.215473106,
0.378823145,0.15662447,
0.362742618,0.151011258,
0.339922597,0.142585038,
0.285770784,0.122719442,
0.361342901,0.15060818,
0.534822938,0.204032463,
0.832062569,0.291211369,
0.745356211,0.268392749,
0.343175007,0.144049819,
0.393018744,0.160354713,
0.385883004,0.156363776,
0.413859084,0.165691234,
0.315784957,0.133275743,
0.300349071,0.127034851,
0.634514121,0.23645537,
0.461729699,0.181943905,
0.358973478,0.14962155,
0.293438569,0.125476655,
0.43284714,0.172680332,
0.697839584,0.255843612,
0.448297686,0.179571955,
0.318278265,0.134994931,
0.371499706,0.153083287,
0.405213991,0.163873209,
0.368738196,0.153333278,
0.330310082,0.139879343,
0.314030916,0.131732605,
0.441322071,0.177195284,
0.538034554,0.207543772,
0.302815881,0.128817903,
0.248983086,0.107257045,
0.310745436,0.130178995,
0.370282398,0.151708595,
0.292282975,0.12470634,
0.211199895,0.091627811,
0.407909213,0.163387362,
0.36953969,0.152285981,
0.340730427,0.142648142,
0.254292008,0.109959248,
0.367113192,0.152954536,
0.639237692,0.240163937,
0.389275118,0.160944927,
0.327197832,0.137348722,
0.366251337,0.151225058,
0.352749144,0.146900212,
0.312983417,0.132667455,
0.30982615,0.132332802,
0.253934113,0.109593195,
0.263503086,0.11369463,
0.466928206,0.183358619,
0.312145964,0.130344978,
0.274779928,0.11643703,
0.343793015,0.143608346,
0.325250896,0.135187195,
0.266952498,0.114583295,
0.237807899,0.103338703,
0.36899169,0.152348985,
0.536526382,0.207065588,
0.323027724,0.136588975,
0.24683144,0.106620583,
0.298856364,0.126088568,
0.336262332,0.139695957,
0.332506036,0.141346898,
0.430370053,0.174746463,
0.461515532,0.185163968,
0.405637658,0.167033454,
0.414751025,0.168454763,
0.424473327,0.172061742,
0.267104845,0.113923739,
0.265039866,0.112989393,
0.353976488,0.144768058,
0.470712745,0.187266918,
0.333107486,0.13768142,
0.506838592,0.195918601,
0.483318498,0.189289812,
0.422131413,0.170175349,
0.263265765,0.112151845,
0.293256977,0.124305173,
0.40493205,0.164851649,
0.347124905,0.145770242,
0.250725253,0.107273691,
0.311090326,0.129149323,
0.303096419,0.127688043,
0.330076497,0.140124691,
