Parameters,Model,MAE,MSE,RMSE,R2
Default,Huber,0.27880869373297384,0.5165394901258756,0.7187068179208235,0.926312845961045
Default,M-estimators,0.2996836491688028,0.5269628828630515,0.7259220914554477,0.924825892570423
Default,Linear Regression,0.37555433849642456,0.5726964788361395,0.7567671232526817,0.9183017475715517
Default,Ridge Regression,0.3901318088348295,0.5882936594506137,0.7670030374454939,0.9160767253370812
Tuned,Huber,0.2793232122126603,0.5168652464250236,0.7189334088947484,0.926266375061814
Tuned,M-estimators,0.31260369153260403,0.5325420534341119,0.7297547899357097,0.9240299936911734
Tuned,Linear Regression,0.37555433849642456,0.5726964788361395,0.7567671232526817,0.9183017475715517
Tuned,Ridge Regression,0.3856559633126504,0.582576471756601,0.763266972793007,0.9168923131059382
