Cire_CD,NDRE_CD
0.2940328,0.123728059
0.399405118,0.162422539
0.837538982,0.291413028
0.517708927,0.197790647
0.569729504,0.219563493
0.343837522,0.140512289
0.220290544,0.095818951
0.200538426,0.08718717
0.17859441,0.078471423
0.209138754,0.091940714
0.210788853,0.09133392
0.258037895,0.109966899
0.192790256,0.08403844
0.259271327,0.109953466
0.372485772,0.151160237
0.251067485,0.108687739
0.261326407,0.113629095
0.241673988,0.10630627
0.238222121,0.103714127
0.278758214,0.119189009
0.362388157,0.150236246
0.46028296,0.184857622
0.563078843,0.215419053
0.698348802,0.257046904
0.725920812,0.264202214
0.592920239,0.226564891
0.389132845,0.159134525
0.704048077,0.256460295
0.700371778,0.257720875
0.773009213,0.277064761
0.738527815,0.265776127
0.293736393,0.122934919
0.380411412,0.156205397
0.85392803,0.295482664
0.524314281,0.19544334
0.312214426,0.130447449
0.503399483,0.194187678
0.273534629,0.112126139
0.221468459,0.095008228
0.205639671,0.08946167
0.226585394,0.099413414
0.217844211,0.094539824
0.236381748,0.101805108
0.220985225,0.095744348
0.33262783,0.138875916
0.431210192,0.171074471
0.281251446,0.119295157
0.297220503,0.126652497
0.280702591,0.121730294
0.324590752,0.137592817
0.327148301,0.139354322
0.326742785,0.137146836
0.376491163,0.155765493
0.504908247,0.198713494
0.457738762,0.184150245
0.522024504,0.204153163
0.66900278,0.248682205
0.561999735,0.215796631
0.62904342,0.236404563
0.558080528,0.215524665
0.556651686,0.212609255
0.591243784,0.222511407
0.270639536,0.116113077
0.405720818,0.163395604
0.944941944,0.317512149
0.575200205,0.215023568
0.241228552,0.105392958
0.196672777,0.085590936
0.202054535,0.087041076
0.284541754,0.118669773
0.203590571,0.087319539
0.224428198,0.098779591
0.258171218,0.112012417
0.243601733,0.105757954
0.249085289,0.105956789
0.383238282,0.15100098
0.251495767,0.106253564
0.305485453,0.128958501
0.245707107,0.106230756
0.266934388,0.115919716
0.298719536,0.127697143
0.307147517,0.130124984
0.483885415,0.192035028
0.490710014,0.193198213
0.739965187,0.26671551
0.704677824,0.256423757
0.596094116,0.227985018
0.692883727,0.254418011
0.752451031,0.269787284
0.676721984,0.250453543
0.804604452,0.284961326
0.972497417,0.3236994
1.048950493,0.339646744
0.333858553,0.14073508
0.406936117,0.163588221
1.009091229,0.332712867
0.78286946,0.274776059
0.310475159,0.132219543
0.247886405,0.106581186
0.268308572,0.114121578
0.541559649,0.209466643
0.565902376,0.216786968
0.276799814,0.117405958
0.27085959,0.116460239
0.237725618,0.10269747
0.355570601,0.145450915
0.551611293,0.207980144
0.272423844,0.114646059
0.299224531,0.127091495
0.256200575,0.111190506
0.215659518,0.094534558
0.281724717,0.118448937
0.380717024,0.154680842
0.685058278,0.253475639
0.699661125,0.2571064
0.616397048,0.231168566
0.556955126,0.213524296
0.500292877,0.198602522
0.808929025,0.284498546
0.815962198,0.285965264
0.760960971,0.271964889
0.937890816,0.317189057
1.02829148,0.336818018
1.034207823,0.337121936
0.350470032,0.146647739
0.517730534,0.199092057
0.946988086,0.318680537
0.854696953,0.292509418
0.42347091,0.17028518
0.272837738,0.115691707
0.516258724,0.202549901
0.717259405,0.261572856
0.401175643,0.161830397
0.203221842,0.08877398
0.264096553,0.112513076
0.422875937,0.170097831
0.609678338,0.229982185
0.701963295,0.258419298
0.702123287,0.256265947
0.395086351,0.161054236
0.27712748,0.119334364
0.292828238,0.124083681
0.359247095,0.147755733
0.45368727,0.178675768
0.69210259,0.255484284
0.638375596,0.240021788
0.511699941,0.201730893
0.699098746,0.256421434
0.550900548,0.214355973
0.730279611,0.264504996
0.777032107,0.276720276
0.685870782,0.252979772
0.900989837,0.309511755
0.961333827,0.323023325
0.996422101,0.32956503
0.298952228,0.127778512
0.332331825,0.139077186
0.623506135,0.228617232
0.391356885,0.160617084
0.260093837,0.112368183
0.228620858,0.099664575
0.51343296,0.201431992
0.841641354,0.294514509
0.451651633,0.174567859
0.225510272,0.098551134
0.234086127,0.100774813
0.404885249,0.164613053
0.751364895,0.271311218
0.854569611,0.298547094
0.791583282,0.281026537
0.532718516,0.206767163
0.331009026,0.141129594
0.465073629,0.187134955
0.335798262,0.140035366
0.445815359,0.179137526
0.560063341,0.217238346
0.521846662,0.20512359
0.6123978,0.232006237
0.813218421,0.287075901
0.716457588,0.262148108
0.687875449,0.25429392
0.753576296,0.271888551
0.844048321,0.295101204
0.974124639,0.326032013
0.916071055,0.311634666
0.626943415,0.227612876
0.327041932,0.137336138
0.380362812,0.155734499
0.491146879,0.189580457
0.511011655,0.19985781
0.543488088,0.209361434
0.204835349,0.089302704
0.258244291,0.110370405
0.441938519,0.169968386
0.272634408,0.11442792
0.218804296,0.096109425
0.246210852,0.106850324
0.336975696,0.142479989
0.656110328,0.245219697
0.758377325,0.272660557
0.541783969,0.206061698
0.363567975,0.151068807
0.318483239,0.135782726
0.390733626,0.161488699
0.465483609,0.186042592
0.485219803,0.194137986
0.446051,0.181228841
0.410674871,0.166851733
0.899964432,0.307038359
0.806996269,0.285427919
0.547562763,0.212841396
0.613748281,0.230933796
0.844643825,0.293991722
0.873383059,0.302031436
0.928471782,0.315657862
0.891038086,0.304960754
0.798982877,0.279852754
0.275900517,0.116051022
0.764381689,0.270516372
0.522511082,0.19575654
0.395068902,0.160465885
0.394085138,0.157889836
0.24773904,0.106914317
0.179827568,0.078436304
0.1278228,0.055584532
0.174242308,0.077290778
0.174220384,0.07775218
0.215225666,0.09466684
0.262972179,0.114497557
0.263097244,0.113269095
0.305700312,0.128041034
0.396640508,0.161585554
0.526473224,0.20484501
0.38955849,0.159601141
0.396393763,0.162911293
0.391449342,0.159962544
0.545024839,0.211465112
0.438489173,0.179011964
0.444237024,0.178786902
0.974043013,0.324118841
0.822809175,0.289306821
0.587742906,0.225475286
0.722476732,0.260251823
0.96679603,0.32261666
0.832807061,0.291830383
0.883114709,0.305118493
0.892648389,0.305592447
0.970006139,0.322082606
0.28837782,0.122935977
0.328422236,0.139659894
0.333099221,0.136388965
0.311806246,0.132350823
0.334863375,0.141130828
0.272197871,0.117891401
0.252297925,0.108065447
0.182940823,0.080174265
0.29097249,0.122687534
0.211504096,0.092691993
0.255972484,0.110390952
0.268869879,0.116407075
0.26472286,0.115722958
0.258014047,0.111779117
0.43656879,0.176495878
0.516476226,0.202932189
0.59411065,0.227057899
0.556927982,0.212183209
0.49731925,0.195453842
0.591835155,0.224633953
0.402574955,0.166836128
0.580553304,0.220679234
1.069689497,0.345522768
0.903147419,0.308050326
0.754444654,0.271861241
0.797184839,0.280767422
0.965878589,0.32168382
0.784949851,0.279017652
0.863876978,0.300440405
0.801962122,0.282753987
0.80158763,0.283047645
0.539076552,0.208602754
0.350896031,0.147343264
0.294223683,0.122899178
0.279915253,0.120228679
0.36517354,0.151691183
0.425743452,0.172131496
0.442094219,0.177736507
0.419003148,0.171435219
0.312400529,0.131138841
0.307844899,0.129651223
0.31636114,0.13394465
0.334651713,0.140943434
0.351609952,0.148700798
0.341994695,0.145164593
0.353593632,0.148455106
0.410038325,0.169044021
0.649385606,0.242964909
0.636891565,0.238618907
0.52425034,0.20505328
0.723116208,0.263227002
0.570458514,0.21841713
0.644275467,0.240018342
1.021944393,0.336235433
0.852863316,0.29677425
0.775607667,0.278537208
0.838976458,0.293493793
0.881897445,0.3031994
0.744504798,0.269725549
0.717259798,0.261775323
0.626342198,0.235786813
0.676751361,0.250859347
0.658073697,0.245503227
0.354185775,0.148509778
0.282800061,0.121130518
0.28161867,0.121500589
0.280959549,0.121078757
0.246917769,0.107593736
0.311316301,0.130840798
0.369044684,0.153751948
0.506545394,0.196043813
0.315080123,0.132582092
0.318262663,0.134773555
0.310571099,0.13189171
0.345800262,0.146771068
0.326163647,0.138793056
0.302031085,0.128462107
0.421609436,0.172054691
0.671072618,0.250165024
0.682193254,0.252874582
0.628440382,0.237251471
0.774125282,0.277977164
0.778961674,0.279066865
0.766838561,0.274596573
0.947208093,0.317937953
0.855973709,0.29747825
0.825061588,0.291079265
0.86802857,0.300756443
0.984231607,0.327421523
0.881487224,0.304742806
0.677440085,0.251547825
0.588044835,0.223862791
0.674865133,0.249316296
0.35745977,0.147372169
0.286447669,0.123782037
0.334106194,0.140602108
0.371327085,0.155334351
0.327633612,0.139833962
0.350304865,0.145375064
0.384290117,0.15741504
0.517981695,0.202800019
0.703003854,0.257758249
0.565648514,0.217764307
0.419197199,0.169617348
0.338086808,0.141939583
0.389093321,0.161959023
0.335907701,0.141436973
0.379532032,0.154842639
0.506458855,0.200195515
0.647420628,0.24266376
0.701930583,0.258815204
0.687230931,0.254037338
0.675503342,0.251514922
0.670961684,0.249728717
0.601159512,0.228274342
0.846000321,0.289099048
1.025003011,0.336459707
0.857344536,0.298537377
0.976507777,0.325343505
0.841943548,0.292124874
0.802375054,0.284302683
0.70621027,0.25924295
0.69431349,0.253822656
0.832155015,0.289711557
0.230581918,0.10023352
0.496294094,0.191066292
0.707225053,0.254560635
0.459922008,0.183666846
0.395020766,0.163726029
0.437677287,0.177083132
0.616111094,0.230573931
0.702383006,0.257368605
0.629643583,0.237312605
0.535426213,0.209024826
0.395194058,0.161932869
0.40125159,0.165973997
0.486772261,0.195048868
0.324681685,0.136222353
0.524515558,0.204352288
0.432689091,0.176087459
0.612513301,0.232789776
0.709547956,0.260038957
0.707259205,0.25900001
0.671552979,0.249814387
0.784655972,0.280397794
0.689587441,0.253229361
0.827927706,0.286032315
0.780169644,0.27751005
0.598051852,0.22773127
0.844567837,0.292223823
0.640137556,0.238549988
0.627553071,0.237407686
0.653491217,0.244884722
0.632893924,0.237060588
0.638363123,0.238416944
0.292566545,0.126058031
0.43347485,0.170168935
0.762721118,0.271683308
0.520812312,0.20205437
0.370887341,0.155247252
0.486826035,0.194014519
0.55921568,0.215267571
0.67419241,0.249791824
0.777153566,0.278617397
0.533530171,0.207511822
